# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.125
#         # Redshift Binning: 5 bins (0.001 ≤ z ≤ 2.5)
#         # for n(z) Euclid-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 100
#         #   - l_bins: 80
#         #   - l_max (WL): 1500
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameters: 
#         
#             #       - Omega_c: 0.2595584093001346
#             #       - Omega_b: 0.04904844290657439
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.06
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10T_AGN: 7.9
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 2.17
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.02268
#             #       - Omch2: 0.12001980846038225
#             #       - Omnuh2: 0.000644866570625114
#             #       - Omega_nu: 0.0013946076354349349
#             #       - Omega_m: 0.3100014598421439
#             #       - Omega_cb: 0.30860685220670897
#             #       - fb: 0.15822003848482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameter priors:
#         
#            #       - Omega_c: [0.1,0.8]
#            #       - Omega_b: [0.01,0.1]
#            #       - h: [0.4,1.0]
#            #       - log10As: [1.7,4.0]
#            #       - ns: [0.6,1.2]
#            #       - Mnu: [0.0,0.5]
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - log10T_AGN: [7.6,8.3]
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: [0.0,5.0]
#         ##############################################################
#              Omega_c          Omega_b          h          log10As          ns          Mnu          log10T_AGN          a1_IA          eta1_IA          beta_IA        log_w   log_l
2.519499350972090324e-01 1.238441724674320746e-02 9.548813760927427063e-01 2.349640773241607139e+00 7.461933584349558224e-01 3.221835630451002075e-01 7.973009164198413323e+00 -1.737366359204194133e+00 3.704299811176275270e+00 4.666503932123064580e+00 -1.101511464750135899e+09 -1.101511477091524124e+09
7.661059124794282749e-01 1.925672326510988186e-02 7.033307605664889106e-01 2.283581930501592527e+00 9.656014640507650793e-01 3.202200368725273694e-01 8.116620423125471717e+00 -2.508323803920879058e+00 3.447530984398435194e+00 2.019542451659638083e+00 -1.078132929694233704e+10 -1.078132930928372383e+10
5.455006433639691954e-01 1.001255565948080614e-02 4.522239160006071845e-01 3.923842202732127582e+00 1.120581486520306314e+00 2.604311208175369430e-01 7.654667889826744620e+00 -4.078215456856320031e-01 8.277604418710247103e-01 2.537623652971099375e-01 -1.121791279074501479e+06 -1.121803620462645544e+06
3.394582789810223766e-01 9.442856531637776329e-02 8.901473936311522506e-01 3.077552274782323849e+00 8.246209009756922947e-01 2.161055774966008647e-02 8.228790610296064401e+00 -4.490583636915973287e+00 2.301284427823425460e+00 4.835081989514494083e+00 -3.908999773369803905e+09 -3.908999785711192131e+09
2.711660826619119447e-01 9.884312016412817592e-02 7.391163836702469014e-01 2.396345728005430331e+00 1.029082142445659098e+00 2.399119178982119238e-01 8.076227126407204082e+00 4.547927239427153268e+00 4.619937340273233772e+00 4.354688380555855609e+00 -1.601115109477516113e+12 -1.601115109489857666e+12
6.641756008279443568e-01 3.113188205498591127e-02 8.369547079415997626e-01 2.925086310005901691e+00 1.041334777896131270e+00 2.598988908644004336e-01 7.605360117457611757e+00 -2.396848645310477366e+00 -2.219587250645228771e+00 4.481720441620943518e+00 -6.165415335818808526e+06 -6.165427677206953056e+06
5.208320236120399516e-01 3.312547170856887380e-02 7.011502238649411911e-01 3.789754533105059942e+00 1.063668926925572578e+00 3.584825559570820053e-01 7.888910981001767908e+00 -3.533015263599895484e+00 4.484668036579737560e+00 2.152597509707441237e+00 -7.449255027457100586e+12 -7.449255027469441406e+12
5.178649468443242698e-01 5.435370921706785680e-02 5.289314093309588349e-01 3.660048211711369959e+00 8.423797489246784842e-01 2.798143919982964967e-01 7.979107831541845108e+00 -3.823809809164089302e-01 -8.436641291109356899e-01 3.213004265997121411e+00 -4.469113411320028827e+05 -4.469236825201468891e+05
7.235816828505118314e-01 9.025188881940408858e-02 7.879820977276583704e-01 3.098581532657098681e+00 7.794799847498793399e-01 3.403666237049636223e-01 8.287806687276265905e+00 -4.261421982089423466e+00 -4.317802746575284623e+00 1.445607593994197693e+00 -2.560970309675109573e+06 -2.560982651063253637e+06
5.441925840911480128e-01 6.890667994704716137e-02 9.154769327433444071e-01 2.995476062539969675e+00 1.126543895506208814e+00 1.174469794337497097e-01 7.832698366136972012e+00 7.349622925285643760e-01 -2.309098904560242804e+00 2.068426816815977620e+00 -4.789498799765316769e+06 -4.789511141153461300e+06
2.167370649011495787e-01 2.251775604918473603e-02 5.712919803939806584e-01 3.338164527125487613e+00 1.072923432223277684e+00 4.105856360675961270e-01 8.191109974138226946e+00 -4.809186394875179182e+00 3.511168315961866071e+00 2.492514714567060530e+00 -2.308597860010115206e+08 -2.308597983423996866e+08
7.551016152887145561e-01 6.101691345066887623e-02 9.901356165618188099e-01 3.982355877336037686e+00 9.860047900591961678e-01 7.747481707572773102e-02 7.876544720992223247e+00 4.435013185282745241e+00 4.155776743633690984e+00 4.835539708630308908e+00 -2.022382793002997600e+16 -2.022382793002998800e+16
6.998545772488422578e-01 1.379100425502449885e-02 4.872682772281622943e-01 3.407765323750215014e+00 1.181242396842752340e+00 1.416720204652183179e-01 7.820152837469299456e+00 9.700729192231980491e-01 -2.108868783407248593e+00 2.330707769134976459e-01 -2.113689008930480108e+06 -2.113701350318624172e+06
1.578634291148627855e-01 2.722327826606885798e-02 8.200904872151379976e-01 3.308555846085463159e+00 6.682320526732035137e-01 9.744985337397288339e-02 8.031310653463734184e+00 1.609271047439619906e+00 4.301797424961966598e+00 4.844725650228634883e+00 -3.282799120394503117e+09 -3.282799132735891342e+09
6.489239090571957691e-01 2.395280730476517794e-02 6.271964451246312411e-01 3.356641989851881114e+00 1.071522996554664209e+00 1.916069844121421895e-01 7.957707532052689103e+00 -4.709701623616254551e+00 2.409712673737276489e+00 2.793602730318117677e-01 -9.455040362471679449e+08 -9.455040485885560513e+08
5.406833667611447014e-01 2.197021597328158854e-02 9.818317128263238658e-01 2.760988144268570643e+00 9.194708149400923070e-01 9.080315271018218892e-02 8.194392512714001597e+00 2.353025989109952754e+00 -3.122979349863840071e+00 2.861988080602280160e+00 -2.862136317016481888e+06 -2.862148658404625952e+06
4.468151605036645435e-01 9.070858667745201886e-02 8.639055674243656391e-01 2.261107013956499490e+00 1.084384927728725634e+00 8.781850715755784575e-02 8.047982158525142538e+00 -1.642284639223822396e+00 3.580755596024154386e+00 4.973443954365966313e+00 -3.649215875639884949e+10 -3.649215876874023438e+10
7.034485965932953944e-01 8.327806180475615105e-02 4.262672093141671170e-01 2.111222539656413044e+00 7.948502042399846479e-01 4.102779632876519811e-01 8.166615601878358888e+00 1.379260928799617147e+00 4.451776750555895390e+00 3.133208989649124199e+00 -1.554285818395327759e+10 -1.554285819629466438e+10
4.237199333962048398e-01 4.070454185559782556e-02 8.837837221073776561e-01 3.768917576166509242e+00 1.065808201906161656e+00 6.226364753259083784e-02 7.947667777542818612e+00 -1.748698162028261560e+00 -2.530920165380020848e+00 3.581425461295750345e+00 -7.281029923613162711e+06 -7.281042265001307242e+06
5.435033452660430475e-01 2.535089306847296622e-02 6.599037734881617601e-01 2.806845846283295032e+00 1.071164457264209613e+00 1.587876760335889537e-01 8.254539267112500411e+00 -4.802246509057900070e+00 6.794826451430404646e-01 3.801188003005301574e+00 -7.361794576246778481e+06 -7.361806917634923011e+06
6.372504720528401334e-01 4.874515054257303609e-02 9.881676958617806594e-01 2.538656722016329859e+00 1.115723993206743980e+00 2.967101305329157834e-01 7.773863726972512822e+00 3.718009412872470776e+00 4.178795067157654586e+00 9.713088864217989116e-01 -6.874028095878099365e+11 -6.874028096001512451e+11
7.062741765320575960e-01 8.036735932426192219e-02 4.469687212837464285e-01 2.871406803302213540e+00 8.657820504711655207e-01 2.632138489633900624e-01 8.277200289561205793e+00 -3.784469117957741879e+00 1.289315643228753139e+00 3.330911689433562195e+00 -1.214688579146882892e+07 -1.214689813285697252e+07
6.555803682992172865e-01 7.293723171538726846e-02 4.442906445321566644e-01 2.713824694321229636e+00 1.001028136250023959e+00 1.137998971564150863e-01 7.619323834416197094e+00 -2.079495658266100833e+00 3.909099971541731833e+00 9.916537012908011040e-02 -4.497711570510683656e+08 -4.497711693924564719e+08
6.886297683714833751e-01 1.504438451582760031e-02 4.838776423002068561e-01 3.667397926560604482e+00 7.672779006319089268e-01 3.077449657727180932e-01 8.025137344983091836e+00 2.273662300986333484e+00 -2.791276976436082080e+00 4.566278262472676097e+00 -1.323190266819250537e+06 -1.323202608207394602e+06
3.300108500554653768e-01 8.425929903044847291e-02 6.926924305728627829e-01 1.702828304330548104e+00 8.988059447569523019e-01 2.244654081144784596e-01 8.290818421474384081e+00 -4.242654242849428492e+00 4.866773308248768970e+00 7.249896226756580297e-01 -5.293992154493464470e+09 -5.293992166834853172e+09
6.816663460781418049e-01 8.749617786826796584e-02 5.193929586085432870e-01 3.618044065533340792e+00 6.998673880209862475e-01 4.716553162774739238e-02 7.851391797321136679e+00 4.546025185844971617e+00 -2.355977963369300987e+00 1.233336751189441749e+00 -1.085195045109475497e+06 -1.085207386497619562e+06
3.200346611615552117e-01 8.760213726164091386e-02 7.805581499752355379e-01 3.452135140435970584e+00 6.448620043203999730e-01 1.694749610798961248e-01 7.807484003788665028e+00 3.687452146672288933e+00 4.694449383361099848e+00 4.963651000738848573e+00 -6.256588005015280469e+13 -6.256588005016514844e+13
5.407892695422735763e-01 3.825890460584809721e-02 9.584144995019889812e-01 3.111106496940158728e+00 6.449648586573756281e-01 2.935026166288997040e-01 7.784969968965920195e+00 6.882025950101597900e-01 1.713944545146059539e+00 4.727278698715497107e+00 -5.196127826890800148e+06 -5.196140168278944679e+06
6.058503185833631344e-01 6.179805495576314034e-02 7.770741555044033966e-01 2.428911925050746046e+00 9.068602936233463030e-01 1.170147333473117723e-01 8.178840134526842220e+00 2.139450888039039711e+00 -3.544627213518221964e+00 2.409798519722237131e+00 -4.192081445050356560e+05 -4.192204858931796625e+05
7.371402833223019702e-01 2.707148301044271649e-02 8.033857316455843556e-01 3.789301016934116362e+00 8.103488225902669706e-01 3.054505058554506380e-01 8.298602597149104199e+00 4.677381206413294024e+00 -8.708147077341674702e-01 8.441596974223558592e-01 -1.874560820973594859e+07 -1.874562055112409219e+07
3.551354228702168214e-01 4.250077415851133411e-02 7.102979072670448923e-01 3.768487686975378281e+00 6.256693071836016973e-01 1.098561074287263684e-01 7.900848158111766217e+00 1.745028249778398433e+00 4.310385912351740956e+00 4.045305106828293695e+00 -2.897869033576148071e+11 -2.897869033699562378e+11
3.206562227704066181e-01 8.304137993769576676e-02 5.313285099826884350e-01 2.847221169385178552e+00 8.244140762670566502e-01 1.534246626197616759e-01 7.768640428267119979e+00 -1.298684567268138856e+00 4.612846691954905154e+00 4.028066607884142947e+00 -9.985349764074100494e+09 -9.985349776415487289e+09
7.938550850947980742e-01 5.241286953121108982e-02 6.993307177810271780e-01 3.491759911715388132e+00 7.290564837418974653e-01 4.513932792617496026e-01 7.931436761951034420e+00 9.317884586188673879e-01 7.345084170847568927e-01 4.723304538799383501e+00 -8.424327594319747761e+06 -8.424339935707891360e+06
6.008777238341324045e-01 7.735773673830027841e-02 8.998816092775577813e-01 2.690369525935325079e+00 1.133544302512286883e+00 1.057733085272891671e-01 8.261540183347287680e+00 -6.375727705584246507e-01 -2.802364593605184417e+00 2.108096006153181268e+00 -3.204449569913084153e+06 -3.204461911301228218e+06
7.412266831785084831e-01 5.016951899468389403e-02 9.711401926486422642e-01 2.397077768820616850e+00 1.192990643738278234e+00 4.469382977758802888e-01 7.947951361889706412e+00 -4.415315111587762686e+00 -2.163608844938400555e+00 9.598485695289754593e-01 -9.618437164836833254e+06 -9.618449506224976853e+06
5.273998617991266791e-01 9.059518253503218155e-02 6.927626383440343982e-01 2.317376997537835770e+00 1.137586621543484000e+00 3.946015134120958723e-01 8.245250768857458112e+00 3.998843636706531868e+00 3.667913899200158312e+00 1.520214524124412048e+00 -8.908668492566501617e+09 -8.908668504907888412e+09
6.707391503620923068e-01 3.318834165683005877e-02 7.116236181189008470e-01 3.877346418514583171e+00 1.193616233596019205e+00 1.200662655486663954e-01 8.036947102868088777e+00 2.387071927115446357e+00 -3.769404859010040632e+00 1.064772042209867653e+00 -2.676065746596650034e+07 -2.676066980735464394e+07
3.756323384464470561e-01 4.207695209897062416e-02 9.907539131990537040e-01 2.779794721970307858e+00 6.507692541497139826e-01 2.712264285825749521e-01 7.882941908289271993e+00 3.428758523758377308e+00 2.792211117839769940e+00 1.243400421755540108e+00 -5.111977148670540750e+07 -5.111978382809355110e+07
4.679478926058077137e-01 1.096993337111331138e-02 7.206699511802832081e-01 2.924271561412926879e+00 6.192098043370460880e-01 4.441063014976260881e-01 7.674390674751305319e+00 -2.597573379952509143e+00 3.752831919119826054e+00 2.239670809901783688e-02 -4.753834974909903407e+08 -4.753835098323784471e+08
3.745307831101498675e-01 8.388715969713825271e-02 8.768835550614915153e-01 3.351142708035788509e+00 1.022917914545204310e+00 9.022783179046955926e-02 8.175672218064061525e+00 2.746421329177347381e+00 -2.574694434146977962e+00 4.181744466849268704e-02 -7.756903537484115222e+05 -7.757026951365555869e+05
3.368465183815971264e-01 4.459114091823029175e-02 6.864945074829978955e-01 2.011138611749364813e+00 1.197192688433713403e+00 1.581559069408812745e-01 7.848673984244602941e+00 -3.752681403197868359e+00 1.711812135142455560e+00 3.429585027789327611e+00 -9.566136095888910349e+05 -9.566259509770350996e+05
5.487860678705759332e-01 8.423524400565152170e-02 4.782872572125768662e-01 3.799649590232053953e+00 6.363733154558313121e-01 4.403987621068182756e-01 8.153586521114633001e+00 1.425524299421248031e+00 4.003142999429494253e+00 2.869107443091367227e+00 -1.697870035924873543e+10 -1.697870037159012222e+10
6.288321334518736094e-01 8.728239034429505216e-02 7.863901793724492606e-01 3.683316759013680830e+00 1.140496168948494482e+00 1.647145732770667337e-01 8.295119695195806386e+00 1.193720279896448133e+00 -1.856838129525436365e+00 3.544863472058854104e+00 -1.439452235278051347e+07 -1.439453469416865706e+07
6.825346191241740135e-01 7.006935793546595348e-02 7.666773894016882807e-01 3.823435897902824010e+00 8.622599472113896546e-01 3.209987996762878604e-01 8.219228284659470418e+00 -3.242028332206283725e+00 -4.337644059276398956e+00 2.650399550046778518e+00 -1.277796908216477185e+07 -1.277798142355291545e+07
7.264419486965237871e-01 4.198132076929537992e-02 4.697884499000422043e-01 3.441571337091653859e+00 8.922841695243781679e-01 2.950778461660821805e-01 8.028236686174707870e+00 -2.190372630256867126e+00 -6.417175714134870645e-02 3.015416244564217418e-01 -1.219278949911243282e+06 -1.219291291299387347e+06
4.754611286305726603e-01 7.156785728042482086e-02 6.395129124329638204e-01 2.952717044596470330e+00 1.165930797042997735e+00 2.058351076609911123e-01 8.137037276294064370e+00 3.723774698434556996e+00 4.372918824023315665e+00 4.160514652326139817e+00 -1.354090847081289258e+13 -1.354090847082523438e+13
7.956450588240406852e-01 7.231000964628521432e-02 8.375482333452713979e-01 2.654187109981739123e+00 8.575588706734289524e-01 3.112400566773710353e-01 7.968068245356443313e+00 3.685048505227715765e+00 -1.878904985067013644e+00 3.453708532680874299e+00 -2.807045049822929781e+06 -2.807057391211073846e+06
7.977601928096058614e-01 4.178458448754936855e-02 7.738756427014956696e-01 2.877202964255261897e+00 6.574298961210625070e-01 1.484969872632677657e-01 7.665470678974840801e+00 1.607271082127676110e+00 4.143035728800173345e+00 3.327131032926232024e+00 -8.702427818532769775e+11 -8.702427818656182861e+11
1.021374577340439932e-01 1.954410336440155424e-02 9.488821740771817836e-01 3.431244585404024328e+00 7.165153855229542401e-01 4.157672309469567784e-01 8.282629843904139477e+00 1.920435320193484507e+00 3.748716361510654238e+00 4.149893664952980288e+00 -1.869435897538071126e+07 -1.869437131676885486e+07
6.290875010969816383e-01 1.387132328100230960e-02 8.113472059831774441e-01 3.926802453610033439e+00 7.302390496599893144e-01 2.211545000223845148e-01 7.887983817955674937e+00 1.567986527363500748e+00 -4.068103855753171239e+00 2.232156892393676983e+00 -1.596744325559281744e+07 -1.596745559698096104e+07
3.771878082042419145e-01 7.415381949257604521e-02 8.111893296988550439e-01 2.583627654501693183e+00 6.455785185049837116e-01 2.718587580866421716e-01 7.679559145886322824e+00 1.457362979359143829e+00 3.193979349555856828e+00 4.927988108220166197e+00 -9.158123778167965412e+08 -9.158123901581846476e+08
7.709056880183203786e-01 6.406806750992991017e-02 9.318813143935485988e-01 3.322337376223456040e+00 6.783733779367782102e-01 2.274955757300965442e-01 7.978369101306157063e+00 3.317224623667891947e+00 -4.888253456377928963e+00 3.860195347679864497e+00 -9.149425848222382367e+06 -9.149438189610525966e+06
6.738660035988032204e-01 9.558253623956715350e-02 7.224845279792362351e-01 2.917038913731768268e+00 9.351578506601398999e-01 2.434288781335596785e-01 7.740003657126637293e+00 -1.556647712630694347e+00 1.079548505264041225e+00 6.268260005039666405e-01 -2.205163375314793549e+06 -2.205175716702937614e+06
