# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.125
#         # Redshift Binning: 5 bins (0.001 ≤ z ≤ 2.5)
#         # for n(z) Euclid-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 100
#         #   - l_bins: 80
#         #   - l_max (WL): 1500
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.06
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10T_AGN: 7.9
#             #       - a1_IA: 0.1446
#             #       - eta1_IA: 2.21
#             #       - beta_IA: 0.0
#             #       - a2_IA: 1.0
#             #       - eta2_IA: 0.0
#             #       - b1_IA: 1.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.000644866570625114
#             #       - Omega_nu: 0.0013946076354349349
#             #       - Omega_cb: 0.3086053923645651
#             #       - Omega_c: 0.2595569494579907
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: Tagn HMcode (1)
#         #   - Parameter priors:
#         
#            #       - Omega_c: [0.1,0.8]
#            #       - Omega_b: [0.01,0.1]
#            #       - h: [0.4,1.0]
#            #       - log10As: [1.7,4.0]
#            #       - ns: [0.6,1.2]
#            #       - Mnu: [0.0,0.5]
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - log10T_AGN: [7.6,8.3]
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - a2_IA: [-5.0,5.0]
#            #       - eta2_IA: [-5.0,5.0]
#            #       - b1_IA: [0.0,2.0]
#         ##############################################################
#              Omega_c          Omega_b          h          log10As          ns          Mnu          log10T_AGN          a1_IA          eta1_IA          a2_IA          eta2_IA          b1_IA        log_w   log_l
5.640478900089432868e-01 2.881227438248910172e-02 6.586375535329547226e-01 1.949629044647099629e+00 1.011075635825885222e+00 4.933233364965756151e-01 8.229175834246767351e+00 1.875905514187556911e+00 6.688494383765322127e-01 -4.668886271585231285e+00 3.976804168108381887e+00 1.504047161877152483e+00 -3.700462946540349579e+10 -3.700462948758327484e+10
5.427153176071700669e-01 8.528471968862159913e-02 5.801571703757069098e-01 3.777270230098586090e+00 8.012149972010340626e-01 4.562895756239675471e-01 8.021844593476975760e+00 -1.495797940129198977e+00 1.710395138995297160e+00 -4.525007025009815997e+00 1.207364885536659216e-01 1.277037292162106485e+00 -5.181493469629722834e+07 -5.181495687607838213e+07
7.745464153066468072e-01 9.923711603276037796e-02 9.908538377769668948e-01 2.414852316716053604e+00 6.466473809105364179e-01 1.065217477657505185e-01 7.621990188242579123e+00 3.219385410170261252e-02 1.479765925905370594e+00 -2.135385059616928594e+00 4.032674446789826561e+00 1.078672583554303843e+00 -3.755237897471668091e+11 -3.755237897693466187e+11
7.023652337555724712e-01 7.910799252775524426e-02 5.357983787319227087e-01 3.477147251032198572e+00 7.335719645787607268e-01 3.435420668594074134e-01 8.027667264757969434e+00 3.521022429226537298e+00 1.186426941514976185e+00 -3.202881482254662515e+00 1.628965494437473183e-02 1.314502912542372393e-01 -1.047527886732316948e+07 -1.047530104710432142e+07
6.203273331642538135e-01 4.190273272480207062e-02 7.133407168296610479e-01 3.925124061284382293e+00 8.768469210475837716e-01 3.736092207972957491e-01 7.949270772768689319e+00 -5.254625823900562764e-01 5.186167257580880374e-01 4.798017260258177430e+00 -2.951113002510659111e+00 8.369680106353261095e-02 -4.710134792163864523e+07 -4.710137010141979903e+07
5.246218825853831147e-01 5.436207975968330997e-02 6.479676947911169327e-01 2.289046188508083723e+00 6.332388117795066940e-01 8.009936065280759410e-02 7.696184334159333673e+00 -3.696132021226049780e+00 2.426977293932437441e+00 -5.223319149258331962e-01 1.811227145081597101e+00 4.005043132174210818e-01 -9.027499449233649299e+06 -9.027521629014801234e+06
4.862502300788196230e-01 8.441015567097673311e-02 4.216092933337383108e-01 3.911188050936922345e+00 6.457085206537090949e-01 2.015072699502570841e-01 7.647175014432451512e+00 -4.719494607756006488e+00 -4.754508186573978890e+00 -4.793436544907377694e+00 -3.441579018605684936e+00 8.329158415967912177e-01 -1.524075352958134317e+05 -1.524297150769656582e+05
2.852414415003058368e-01 7.414793835266499100e-02 6.822813390512088016e-01 1.782818478664086825e+00 1.152469526678117973e+00 2.036601207797169022e-01 7.760648442762263954e+00 -2.083087998867094726e-01 4.551841053413333782e+00 -4.928315912041256297e+00 4.474468525605960423e+00 1.718988270601060409e+00 -2.620150937397939265e+08 -2.620151159195750952e+08
2.363649093762386910e-01 4.465494782297130261e-02 8.161948559150260518e-01 3.947212869103874588e+00 7.763625422472831827e-01 3.041403955516057134e-01 8.138551352942586803e+00 2.243061614902362777e+00 -3.431160324885148327e+00 1.230590373630789713e+00 3.379470130003850770e+00 1.430503348228865601e+00 -1.390952547867177241e+07 -1.390954765845292434e+07
5.155562709840924018e-01 7.929362238816370367e-02 9.045216557280496561e-01 3.786855848268406710e+00 1.159089796277189777e+00 4.613515253645506520e-01 7.776752484970961277e+00 -2.601583448882771599e+00 -1.291411263906434570e+00 -4.932598392322036673e+00 -3.664279915519677022e+00 1.338635906473278236e+00 -6.729794516903800011e+09 -6.729794539083580971e+09
