# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_bins: 50
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - a1_IA: 0.1446
#             #       - eta1_IA: 2.21
#             #       - beta_IA: 0.0
#             #       - a2_IA: 1.0
#             #       - eta2_IA: 0.0
#             #       - b1_IA: 1.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: 0.02268
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: 0.97
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - a2_IA: [-5.0,5.0]
#            #       - eta2_IA: [-5.0,5.0]
#            #       - b1_IA: [0.0,2.0]
#         ##############################################################
#              Omega_m          h          log10As          a1_IA          eta1_IA          a2_IA          eta2_IA          b1_IA        log_w   log_l
3.505339501916507894e-01 8.441828389869656668e-01 3.322177052623942473e+00 -7.800929148686472914e-01 4.107349961857568843e+00 3.759841743130561298e+00 4.410508499127642423e+00 1.038803904669146183e+00 -8.145101361682526855e+11 -8.145101361943554688e+11
3.868131838054621463e-01 8.783097494628382407e-01 2.403056913284125962e+00 -4.073044688647851963e+00 -2.144413247940178735e+00 -1.017812925218848363e+00 -8.517727387020208596e-01 1.315089618831143392e+00 -9.175590400553809479e+06 -9.175616503287976608e+06
3.824181314920140906e-01 8.859347719528642973e-01 3.568954904542741779e+00 4.090086788232026649e+00 -4.793786810398124487e+00 4.488339182087830892e+00 3.483080492245083093e-01 9.047932604018968927e-01 -1.334987417500853777e+09 -1.334987443603587866e+09
2.691613996071322568e-01 7.734172522636684199e-01 2.143849149354736472e+00 -3.363875667173035211e-01 4.457947699118872009e+00 1.303131092476583319e+00 4.525682488855920838e+00 8.883833825198332868e-01 -1.695945149829789996e+06 -1.695971252563957125e+06
3.970305424117074322e-01 7.078032346516984763e-01 3.536947423095870846e+00 2.891713600638055937e+00 -2.657330752765591164e+00 -1.452660730254813348e+00 -2.314719053221139244e+00 1.941667510740326508e+00 -8.586034372545251623e+06 -8.586060475279418752e+06
3.343190817150896721e-01 7.503888339646609396e-01 3.944098261086963042e+00 -4.495315338235547742e+00 -2.498492729360975773e+00 -2.844645507523915207e+00 -1.733715606882672233e+00 1.295191640758590168e+00 -1.124516472340889126e+08 -1.124516733368230760e+08
2.919292875762765083e-01 8.475901078353984541e-01 2.205883553819285581e+00 -2.510086538933071765e+00 1.257147858319530798e+00 3.074074588114831030e+00 4.798108945968271755e+00 1.484002235929247293e+00 -2.320343818139615059e+09 -2.320343844242349148e+09
3.168239349027977547e-01 6.753002013411041338e-01 2.908724766015430507e+00 -4.489277332945910359e+00 -3.221544632787198825e+00 3.038494150925073356e+00 4.646505524779854568e+00 1.923312083707193088e+00 -1.976571484476447821e+09 -1.976571510579181910e+09
3.935456787467383477e-01 8.666353014175443015e-01 3.004966709593313023e+00 -2.931849609558871972e+00 2.825905142170862305e+00 -4.473083394422152637e+00 -4.795110746864867934e+00 1.531612909726873806e+00 -2.771711854297601223e+09 -2.771711880400335312e+09
3.639542673768664249e-01 5.913902237990256161e-01 3.110118463606251105e+00 3.025054956124346717e+00 1.479896662764710769e+00 1.068411478147678118e+00 -2.019907475985505130e+00 1.725086219100596674e+00 -1.273122525615779450e+06 -1.273148628349946579e+06
3.550483734589613971e-01 7.762757667149450258e-01 3.613884992309912114e+00 -4.052613116932390902e+00 -3.046519349348292494e+00 4.097247327033509023e+00 4.445512265314418343e+00 1.649797429932746029e+00 -1.607598952025910156e+12 -1.607598952052012939e+12
3.376153560423146849e-01 6.202929710423572551e-01 2.594135685893656174e+00 -2.133973125063378440e+00 3.483817470828645568e+00 -4.498935804231650515e+00 2.148286220949474412e+00 1.301329212853937323e+00 -5.124484391982418485e+06 -5.124510494716585614e+06
3.015569877483599837e-01 8.927980734313183397e-01 3.981654902467955282e+00 -2.731945432984992372e+00 -4.194026348890532496e+00 4.650597888404393032e-01 2.083809223693505075e+00 9.216472963937960561e-01 -1.836693244857420400e+07 -1.836695855130837113e+07
2.757234799640656542e-01 6.909472105115860296e-01 3.587049262867641364e+00 2.870778326382970036e+00 2.959349744425924911e+00 -4.217858633960379855e+00 4.818624515526062524e+00 7.565874813898165741e-01 -5.015431197377849579e+10 -5.015431199988122559e+10
2.521171325188651391e-01 5.786653256893635744e-01 2.520430201562891437e+00 4.098161192246118745e+00 3.426270518366294482e+00 4.066164807188599184e-02 9.403788654155844640e-01 1.845241342849535116e+00 -1.069424304444772890e+06 -1.069450407178940019e+06
3.594064189291293343e-01 6.729958883192833641e-01 2.703235735299260867e+00 1.675209598137785250e+00 -3.637557083552770187e+00 -4.138292541080734743e+00 4.431399904853881466e+00 1.250040307368681658e+00 -6.127771617506574631e+09 -6.127771643609309196e+09
2.542835731902564067e-01 8.870918557487739164e-01 3.802908687974702495e+00 -1.504792543671106486e+00 -4.736100899005193376e+00 -1.586137915691496758e-01 6.340890713256861488e-01 1.002074410736943921e+00 -2.035583463310161140e+06 -2.035609566044328269e+06
3.549644189645418946e-01 8.932821013594690607e-01 3.830483316967998597e+00 9.137763230498201494e-01 -3.984487161332380900e+00 4.400907199476822740e+00 -4.897307780874471383e+00 1.355176107319888468e+00 -5.644935493966650218e+07 -5.644938104240067303e+07
3.671250567961425459e-01 8.179265074020065640e-01 2.545547273555439194e+00 -6.548564711689444096e-01 3.910550459680100843e+00 -6.003301677987149532e-02 2.976743960820327217e-01 1.007814534525134809e+00 -4.015322924810877535e+06 -4.015349027545044664e+06
3.684273578791180115e-01 6.582565586975032135e-01 3.198451114979066645e+00 -4.158252085705536061e-01 3.809484514364967822e+00 -3.015258982041071345e+00 4.597556217626292963e+00 9.798177467895747839e-01 -2.409923872864811325e+10 -2.409923875475084686e+10
2.650503376152157919e-01 8.523137959741240444e-01 2.239521472628299037e+00 -1.808177650122351210e+00 -2.471041600188306209e+00 -4.560358229464243074e+00 2.565508314402645595e+00 8.572545201907741941e-01 -2.250514970945203211e+06 -2.250541073679370340e+06
3.499685542144443939e-01 6.533842498749639072e-01 2.871238889841044806e+00 4.946369117063316168e+00 4.323325018048313595e+00 -3.492821511693953163e+00 -1.663996388797459591e+00 1.796119973023947880e+00 -1.001951914439655495e+10 -1.001951917049928856e+10
3.603430568352780639e-01 8.846997475860666205e-01 3.705506547492352531e+00 1.792892938256619217e+00 -3.332457475711524175e+00 2.865538496253852152e+00 3.167559935682486838e+00 1.637851281654953972e-01 -4.610532808670919037e+10 -4.610532811281192017e+10
3.308764722950882087e-01 8.700735974205899836e-01 2.288654388990337907e+00 2.581596287150121682e+00 -6.196974622003637023e-02 3.563317630834458072e+00 2.491218890523318130e+00 1.308142861079342856e+00 -2.015263295391709730e+07 -2.015265905665126443e+07
3.985986431921301754e-01 6.877065906023249742e-01 2.755237380011013926e+00 -2.341833399455258480e+00 2.775968285563311433e+00 1.094696447695520547e+00 -3.502498851502674704e+00 5.444194575456173801e-01 -6.315393667072189972e+06 -6.315419769806357101e+06
3.120866777813258719e-01 7.411555948441083119e-01 3.188820663260344190e+00 2.190909656979981079e+00 -1.565719800280340746e+00 4.208678057663968630e+00 4.699147318000102658e+00 4.192506905911972392e-01 -9.285932311991317749e+10 -9.285932314601591492e+10
3.995792908035151192e-01 5.685344647046808308e-01 3.389926656280276340e+00 2.020114201322256164e+00 1.843457435784454645e-01 -3.904067809927012078e-01 4.433823346849239400e+00 1.563334577766307909e+00 -2.974622402207621373e+06 -2.974648504941788502e+06
2.655673525491207276e-01 7.004958745133419429e-01 3.339321190679709339e+00 3.768457106803165146e+00 -2.024750487365276630e+00 4.153293399926077711e+00 3.477108549215282451e+00 1.423904499617411945e+00 -1.010821727269731015e+08 -1.010821988297072649e+08
2.720104992019127255e-01 7.861054576646213654e-01 3.654026909853296257e+00 2.506771708235158158e+00 -1.759312356286224510e+00 3.258006846416552804e+00 -4.366609166049623347e+00 1.708767194399173794e+00 -1.569158817658345914e+06 -1.569184920392513042e+06
3.644400266803110577e-01 7.685316867219315062e-01 1.769034163661440617e+00 4.198187068921042098e+00 3.956129869781861430e+00 -2.552806629305632846e+00 8.429515637516749038e-01 1.007305715206719077e+00 -2.097806634401812255e+08 -2.097806895429153740e+08
3.965780993557832534e-01 7.134469208349365488e-01 2.945896078139591978e+00 2.673992384499475961e+00 2.368910131498381588e+00 8.284410686564349646e-01 -4.328046607760355435e+00 6.686997253145787745e-01 -1.238852715882807784e+07 -1.238855326156224497e+07
3.970316660931890729e-01 8.475525463428392747e-01 2.314168372046787603e+00 3.572131373625950346e+00 3.637345983349598910e+00 -7.956591420026271066e-01 -2.520350950060348261e+00 9.066958930010782236e-01 -9.651756990655155182e+08 -9.651757251682497263e+08
3.525845986311031410e-01 5.812173314971170734e-01 3.112206264716794735e+00 2.405286943565789315e+00 3.589322857487935892e+00 2.307587380762983642e+00 -2.038998798799049883e+00 1.709867044347377574e+00 -2.727577642031319439e+07 -2.727580252304736152e+07
2.561873929370337977e-01 8.027401376210446804e-01 2.696716810967209277e+00 -4.976751764462320260e+00 6.889461795314035797e-01 -3.558942848061088515e+00 1.809185561877192150e+00 1.091075312505557671e+00 -2.115851575953661464e+06 -2.115877678687828593e+06
3.790300784901357023e-01 8.703075087069243043e-01 2.276606283312666790e+00 -8.567812221405270989e-01 2.820578022296996501e+00 -3.167490665973753394e+00 1.733635630772734082e+00 1.310054429441265711e+00 -2.282604439636683464e+07 -2.282607049910100177e+07
3.324856887874868550e-01 5.094385848028799568e-01 2.821037838039514689e+00 -3.618663785477367334e+00 3.456190837482701284e+00 4.921692230851792971e-01 1.720028143576161739e+00 1.315717539721774632e-01 -3.108687758326567244e+06 -3.108713861060734373e+06
3.143280230999174751e-01 8.404584311522800277e-01 3.983579432387037045e+00 2.535846350723820919e+00 3.215001293902775004e-01 3.250019121595668636e+00 2.584169571826966383e+00 1.891286697602898581e+00 -5.599264098040245056e+09 -5.599264124142979622e+09
3.428892553766000328e-01 7.432499969333943302e-01 3.775449261149757874e+00 1.930635207839273448e+00 -3.049826399380610731e+00 -2.916914899247593507e+00 2.343270543746053036e+00 7.433464548674622030e-01 -3.438163841291627884e+08 -3.438164102318969965e+08
3.199524921626274998e-01 8.196487013758825269e-01 3.786223526544359785e+00 -4.021937394990882098e-02 2.248008609411432879e+00 -4.301972849361179740e+00 2.964924997620626890e+00 6.310484975625567650e-01 -1.532517135986986542e+10 -1.532517138597259903e+10
3.829321643923317975e-01 6.170999187207819592e-01 3.255982308679344683e+00 -2.845864674565503627e+00 3.403911239677668732e+00 2.973712377764066161e+00 8.246045578664462639e-01 2.379630800190559725e-01 -3.662245000920330733e+07 -3.662247611193747818e+07
3.791964554868725856e-01 5.296327589287227466e-01 2.552879920103910738e+00 -1.684260009120875701e+00 4.742631157491729255e+00 3.898920021869356489e+00 -2.694070746221784773e+00 1.795159020750134227e+00 -6.053172160798848420e+07 -6.053174771072265506e+07
2.514291946650630272e-01 7.899857109816400547e-01 3.867720053135216496e+00 2.403135800153995305e+00 3.777863832593022053e+00 -9.068205640209470175e-02 -4.453825801674621054e+00 1.453592964728555037e+00 -7.079945478415517807e+08 -7.079945739442859888e+08
2.971271214590255338e-01 6.102057063260266645e-01 2.938733678563050233e+00 2.268688398271202722e+00 -3.812926061276413758e+00 -1.418188827183906042e+00 4.940816254224547066e+00 1.310340255435791468e+00 -2.789316268527380377e+07 -2.789318878800797090e+07
3.996391061709206882e-01 5.507913519233501587e-01 3.637767459536854542e+00 -4.581487239536143896e+00 -4.203365218665186198e+00 -2.414776031449361593e+00 9.535584581812042160e-01 3.163599280451494522e-01 -1.711289459419749212e+06 -1.711315562153916340e+06
3.146030027663723749e-01 5.717884414076959132e-01 3.270058862785631071e+00 3.528175984493861606e+00 2.993122886745309685e+00 -1.730500769808226202e+00 6.550219855230032806e-01 1.206409205460373890e+00 -6.384840539028457366e+06 -6.384866641762624495e+06
2.665226921949884198e-01 8.134226798332231390e-01 2.484822777419009476e+00 -3.367718724729916957e+00 -1.124068730591787357e+00 3.362659329386723073e+00 3.480902688759332619e+00 1.098745458098067562e+00 -1.424997127385447174e+07 -1.424999737658863887e+07
3.926714912647965572e-01 6.890335180954654248e-01 3.379933599424775004e+00 1.650760457571479378e+00 4.958999487094512659e+00 -4.961586012952128755e+00 -1.472963469133502734e+00 1.345950213207773638e+00 -2.505641372975025558e+10 -2.505641375585298920e+10
3.993053830574333496e-01 7.500628830568943917e-01 2.963158278135566981e+00 -1.126651170710700534e+00 -4.159398340736839117e+00 -4.141420522615025135e+00 -6.713453819332535488e-01 1.762177909608984461e+00 -9.660606555911114439e+06 -9.660632658645281568e+06
3.707064524603711497e-01 8.910012107916305268e-01 2.604008600523020966e+00 -3.837774848461008581e+00 1.020651806134971196e+00 1.307484675231334492e+00 1.908243525618855685e-01 9.327999281203676052e-01 -3.778954000738595426e+07 -3.778956611012012511e+07
3.604320895798144297e-01 7.664107421838383116e-01 3.291675602977905513e+00 4.331531722950209939e+00 2.704617232623461653e+00 -4.855635833479288621e+00 -3.254066542644553639e+00 1.551056742782774833e-02 -5.307441300077198446e+07 -5.307443910350615531e+07
3.306364564651601556e-01 7.586917682845077948e-01 2.809850511503734438e+00 -1.391422185343125228e+00 3.134528183446686711e+00 -6.159212650488221641e-02 -1.306241210400592934e+00 7.657156550243482407e-01 -2.162051963961103000e+06 -2.162078066695270129e+06
3.492810773278868242e-01 6.022622137774586992e-01 3.780866527393088816e+00 -1.611963032301992893e+00 3.685004729530472645e+00 -4.779566122692999741e+00 9.154213902680758963e-01 3.643075230001453502e-01 -6.174390982548423856e+07 -6.174393592821840942e+07
3.543123799616350045e-01 8.780569864900228394e-01 3.771741153175846684e+00 1.010389925545531753e+00 1.577856424722540396e+00 1.220277569525638484e+00 -4.117552389333004825e+00 1.078268133614077140e+00 -6.454713839872961491e+07 -6.454716450146378577e+07
3.550561678072247096e-01 6.375799243933543137e-01 3.896277625314580106e+00 -2.647607943814609399e-01 3.493360660016600505e+00 -1.935281804606556744e+00 -1.356445463973195764e+00 1.882867450484986716e+00 -4.212631601574555039e+06 -4.212657704308722168e+06
3.604861175235153370e-01 8.397932393842759691e-01 3.405704689553608944e+00 4.622999413216133391e+00 -1.976160159978127773e+00 -1.921704721167879271e+00 1.132040674323921081e+00 1.985815735323375852e+00 -1.631522806087287068e+08 -1.631523067114628553e+08
3.593175475541781627e-01 6.331684283747770481e-01 3.121246842289063572e+00 3.540585045957048038e+00 3.975699557813065610e+00 3.747741098481675692e+00 1.933650581653846956e+00 4.734901428514461941e-01 -6.030861728422607183e+08 -6.030861989449949265e+08
3.472589331581475425e-01 8.439924321861360657e-01 3.676733731246870640e+00 2.509315156056235452e-02 -9.700439795068600546e-01 3.642650191552901262e+00 -2.875600505290851761e+00 1.877681471056920515e+00 -9.639214033970775083e+06 -9.639240136704942212e+06
2.574077960851477997e-01 8.449035460974287925e-01 3.465592707191504029e+00 3.998341996263103937e+00 -1.368381257489729386e+00 -4.457260358434890435e+00 -1.260108863353308628e+00 2.623033555347549228e-01 -8.346304457334197359e+05 -8.346565484675868647e+05
2.926714345353317315e-01 6.240566199626217392e-01 3.509208014195159375e+00 4.788862839957324979e+00 -3.395744584376831021e+00 4.856001931420548701e+00 2.485189740429615490e+00 4.815439722682688384e-01 -1.069953406710375100e+07 -1.069956016983791813e+07
3.009281606084731053e-01 8.709474647680102155e-01 3.274620728043589057e+00 6.833502004543987596e-01 -2.172631643162915793e+00 1.101891043965075312e+00 3.821039916473038645e+00 1.439135012954642079e-01 -1.616463264512742758e+08 -1.616463525540084243e+08
3.274129341871643284e-01 7.275833156036330962e-01 3.918948353595414602e+00 -4.774507748632675685e+00 1.411858494765426464e+00 -3.868087384775983573e+00 -4.982018142135171246e+00 1.836620974791967065e-01 -6.442462322264127433e+07 -6.442464932537544519e+07
3.043821618057210854e-01 6.943996118038449072e-01 3.052163445248967655e+00 -3.166478891697316556e+00 4.517719903819809701e+00 1.193506995530180248e-01 -3.872038050472332849e+00 1.744600282536774127e+00 -2.916625613590893745e+09 -2.916625639693627834e+09
3.835718093493124536e-01 8.919340011322929307e-01 3.425370502467079969e+00 3.205646875865115319e+00 1.840301621825586764e+00 -4.421562094401866538e+00 4.902535005405013635e+00 4.279444475146338966e-01 -9.638436899910396875e+13 -9.638436899913007812e+13
3.061820240888900591e-01 8.642158037299791928e-01 3.961103422031066579e+00 3.603759015090519213e+00 3.512287500221665582e+00 3.362847424104867144e+00 -1.850764685327591863e+00 9.015488994948259727e-01 -2.378849367540787506e+10 -2.378849370151060867e+10
3.983255788246725659e-01 8.213300303664055058e-01 2.867662335120745531e+00 -1.600810835919267205e+00 -2.993349126831420293e+00 -3.927531217907818117e+00 8.139199881487355626e-01 4.239308671148982466e-01 -6.629383244478776306e+07 -6.629385854752193391e+07
2.976978766060978110e-01 6.868489982804275584e-01 3.486678255959795969e+00 -2.606741396945143840e+00 1.539359573789536029e+00 -3.467271639411623418e+00 4.407616316444816107e+00 6.802091222161354978e-03 -8.444871908336406708e+09 -8.444871934439141273e+09
3.851510860734712050e-01 8.612681390785301705e-01 3.627726977824276666e+00 2.267713111036400164e+00 -2.366607204178840185e+00 -2.992845760417064405e+00 2.579774706830200159e-01 7.618628752630209888e-01 -2.327483887730635107e+08 -2.327484148757976592e+08
2.997661134866630439e-01 8.706620694436888463e-01 2.869294548037038872e+00 -5.817345995700486938e-01 3.967757960677642970e+00 4.377319995983825152e+00 4.911090383066145648e+00 3.629303219647501688e-01 -4.118107307513908691e+11 -4.118107307774935913e+11
3.949297154559140433e-01 8.680000148444249053e-01 3.451176203781179730e+00 3.795749092161139870e+00 3.642812118331061555e+00 -3.303328405811548407e+00 1.762693769606401339e+00 2.847908610462290824e-01 -7.618773715294410706e+09 -7.618773741397145271e+09
3.594373371387784566e-01 8.780145727463706251e-01 3.303911056894299758e+00 -4.420143934321568935e+00 -4.900760416988024559e+00 -2.209381442579652077e+00 3.275126420456588860e-01 8.372277275325259449e-01 -8.117787791899096966e+07 -8.117790402172513306e+07
3.690455423879709373e-01 7.650468250591361263e-01 2.046269882845177079e+00 -1.267087743882258088e+00 4.986105676810094423e+00 6.222020637686229705e-01 1.271590119559768084e+00 3.510941448933129205e-01 -1.144585350666386783e+08 -1.144585611693728417e+08
3.918409428184279064e-01 8.633216582983531673e-01 3.316357483141378015e+00 -2.177751061972114321e+00 -4.069796674396084057e+00 -1.500840085237673538e+00 -1.613060297821637956e+00 5.583602290843514560e-01 -2.516530122381478176e+07 -2.516532732654894888e+07
3.882188866554643347e-01 7.833437528987202692e-01 2.597508835168250041e+00 2.708114809280201207e+00 -4.464771852359383786e-03 1.187454113489735619e+00 4.138448515243297265e+00 7.523039373957507436e-01 -2.189875235759701729e+08 -2.189875496787043214e+08
3.556556829400722708e-01 6.490120236466233594e-01 3.884204995171423036e+00 4.012746789187824348e+00 2.144273285072745061e+00 -2.773593585797068606e+00 -2.699523622973014625e+00 4.077516794095803476e-01 -4.542030149919132888e+07 -4.542032760192549974e+07
3.463471333347273307e-01 7.144153789619240857e-01 3.992339830663358846e+00 -4.450307577432050188e+00 2.510964106267788765e+00 2.444504972298440215e+00 -1.705383194994507523e+00 1.772758878366010649e+00 -8.397821159764222145e+09 -8.397821185866956711e+09
3.067531061655343061e-01 5.245333695604397217e-01 3.098802608511467049e+00 -4.681510351549564852e+00 -4.196494128850068783e+00 3.551388001624694368e+00 3.853025102554596515e+00 1.698715282488357348e+00 -3.208413061448550783e+06 -3.208439164182717912e+06
3.846630697600530446e-01 7.986301416831478317e-01 1.980719238563271478e+00 -2.656683425365762297e+00 2.196067309105897536e+00 4.127692204811955534e+00 3.040529026829030812e+00 1.717692524105130625e+00 -9.379008953370928764e+07 -9.379011563644345105e+07
2.794022327827888064e-01 8.039857370721650298e-01 2.542648878602503437e+00 2.602442390767225611e+00 -2.834446943583151857e+00 4.623644657616273079e+00 3.777812409006186201e+00 3.379447665911230470e-01 -2.783451301564998031e+08 -2.783451562592340112e+08
