# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.3
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [-1.0,5.0]
#            #       - etaIA: [-5.0,5.0]
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          aIA          etaIA        log_w   log_l
3.423945892692186743e-01 2.279986413744201565e-02 8.857087992197305581e-01 3.622496773611184828e+00 9.691466748249167873e-01 2.116268406696648618e+00 -8.833613372079991422e-01 -2.060499846977382433e+06 -2.060513580780230928e+06
3.311007895852522975e-01 2.270438524391646049e-02 7.188206251831867899e-01 3.331342969343106475e+00 9.730422552380671997e-01 1.576081512398721074e+00 1.453385121449823458e+00 -1.269549537261059741e+05 -1.269686875289544405e+05
3.264863162069446267e-01 2.283844936994439134e-02 8.473202009508364885e-01 3.423824422952265856e+00 9.677283662403187714e-01 1.258229930494556559e-01 4.245286986874015511e+00 -6.587826544246345293e+05 -6.587963882274830248e+05
3.577264357367448411e-01 2.336319704530987612e-02 8.209726666974381803e-01 2.736157458907011009e+00 9.653159950881123885e-01 2.573149027786991283e+00 3.827436568408062456e-01 -1.409334805100946105e+05 -1.409472143129430769e+05
3.993203503488169104e-01 2.322687762636609435e-02 5.648757847096119722e-01 1.879887514436975771e+00 9.720456261567307354e-01 3.653375332817134780e-01 3.878350461253818438e+00 -3.620074587247968884e+04 -3.621447967532816256e+04
3.198466850600110711e-01 2.239250285026727835e-02 6.991756319895215954e-01 3.758662738427468675e+00 9.791825120712660535e-01 1.150268426403487698e+00 7.762105061116706395e-01 -2.496761578064515488e+05 -2.496898916093000153e+05
2.604550221575196445e-01 2.317150652239701597e-02 7.121922940294813653e-01 3.832827126380281335e+00 9.692451307238248992e-01 2.475634259351238153e+00 1.723308594175763098e+00 -2.088500393714996462e+05 -2.088637731743481127e+05
2.901826337400837952e-01 2.317805255684551174e-02 7.447179368855159076e-01 3.432090020298070421e+00 9.746610490196042642e-01 3.861332451339171357e+00 -2.170611082582156737e+00 -7.429334948710243043e+04 -7.430708328995089687e+04
2.890535853356865914e-01 2.235184345272137746e-02 5.163683304132310470e-01 2.352293853766170173e+00 9.702592295774302711e-01 4.707038271310659994e+00 -2.137450461145673497e+00 -5.005890310844668420e+04 -5.007263691129515792e+04
3.035138153565589136e-01 2.324437892177512455e-02 8.387009680904717879e-01 3.600864509063449681e+00 9.728590161380138435e-01 1.412036718862514029e+00 3.541021452548029913e-01 -5.972324932802882977e+05 -5.972462270831367932e+05
3.229422504176664432e-01 2.261655173063887095e-02 5.468863843200379993e-01 3.948610935323325855e+00 9.760144402910430061e-01 4.610426753346811068e+00 1.610858929573643294e+00 -9.863291919314722763e+05 -9.863429257343207719e+05
3.472556994293127253e-01 2.232502142907030751e-02 7.692234433184654829e-01 1.937020154144854844e+00 9.669790423773289012e-01 2.816256692841539788e+00 3.130980572701552944e+00 -9.368018896971213399e+05 -9.368156234999698354e+05
