# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [-1.0,5.0]
#            #       - etaIA: [-5.0,5.0]
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          aIA          etaIA        log_w   log_l
2.671558247623596061e-01 2.254825193876792283e-02 7.052317624930696249e-01 3.833685853838647795e+00 9.753024001644066132e-01 1.609738735029261125e+00 2.616926764139064332e+00 -4.720670713756897021e+05 -4.720821452514019911e+05
3.417682963278516062e-01 2.293128758352982674e-02 8.631803679567014997e-01 2.797024175638600063e+00 9.684536502566607474e-01 3.604423158222070711e+00 1.508602502115518718e+00 -1.715446709233947797e+06 -1.715461783109660028e+06
3.973767925276374680e-01 2.250595411216186822e-02 8.374954353289596476e-01 2.733882923444778346e+00 9.722389120220140679e-01 2.287655614803211002e+00 -4.826693984357930844e+00 -5.196694578038351028e+05 -5.196845316795473918e+05
2.547930915457138346e-01 2.280992183319939873e-02 7.172648667288497037e-01 3.188296295948513048e+00 9.700094946086480485e-01 4.817882725280189682e+00 1.969590467643734577e+00 -8.116257703765507322e+05 -8.116408442522629630e+05
3.165317720854487482e-01 2.255717698407994423e-02 8.331941866445219391e-01 2.885706276148337857e+00 9.742176942474853885e-01 1.013908713357277058e+00 -3.035040167176488168e+00 -1.210260712600739062e+05 -1.210411451357861515e+05
3.767849739173241841e-01 2.332990966753887771e-02 5.501972947222619759e-01 2.689135299985569105e+00 9.734325390919339460e-01 4.139739256906959319e+00 4.044787124037457104e+00 -1.588915126902523339e+08 -1.588915277641280293e+08
3.437843279036951194e-01 2.241062599302902705e-02 8.785780690496303169e-01 3.145512147213643139e+00 9.701391369672736076e-01 -1.746649349237503479e-01 3.109878194543815866e+00 -1.278405173551576445e+06 -1.278420247427288676e+06
3.413518975327297089e-01 2.304866631759283288e-02 7.852667655042263606e-01 3.118682230203777550e+00 9.693070158176871898e-01 2.520089504410250036e+00 -2.255155223661449160e+00 -2.834757974748804118e+05 -2.834908713505927008e+05
3.969053792732560870e-01 2.259701002964143932e-02 8.447970727348754760e-01 2.933675569524986315e+00 9.721814157382694388e-01 2.672811521553784875e+00 4.094440602725585521e+00 -1.246076947618453264e+09 -1.246076962692328930e+09
3.874496951025051539e-01 2.278736716027680853e-02 5.771448756422842274e-01 3.189948057562084216e+00 9.724160593612137804e-01 2.327666749518082945e+00 3.164037575787506995e+00 -4.606294768307599239e+06 -4.606309842183311470e+06
3.943194801564796625e-01 2.284786478361010287e-02 8.263388068762900218e-01 2.646387974381602781e+00 9.636100677789369851e-01 4.936392579384674129e-01 -2.446409703676529546e+00 -3.055134306872223970e+05 -3.055285045629346860e+05
3.214704619022057952e-01 2.306822208847265562e-02 7.780097204662275168e-01 3.536206630038646992e+00 9.696247030975831960e-01 4.360035813126703630e+00 -3.196267791621785204e+00 -7.114183014791334281e+05 -7.114333753548456589e+05
