# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.3
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: 0.1446
#            #       - etaIA: 2.21
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns        log_w   log_l
3.637541450500188511e-01 2.199775884310414820e-02 7.220291558444530411e-01 3.569876911211560255e+00 9.801725644714462948e-01 -5.733765697040674277e+05 -5.733825749470486771e+05
3.603629743706204813e-01 2.274801771559657737e-02 5.453415213209684698e-01 1.922379511905723648e+00 9.674853076698233245e-01 -4.435035488303523744e+04 -4.435636012601653783e+04
3.628761428595972394e-01 2.276049856505849706e-02 8.597049375383575276e-01 2.353078445651034301e+00 9.655593617289607300e-01 -3.658245719760721840e+04 -3.658846244058851880e+04
3.038037566576466397e-01 2.208000622555113951e-02 8.679425928118664757e-01 3.283929011780832852e+00 9.646364807090858084e-01 -3.480730803315112717e+05 -3.480790855744925793e+05
3.438717829223643663e-01 2.254456095810394509e-02 7.866966286982529644e-01 3.608846379810775495e+00 9.743562107033131303e-01 -8.969537169145833468e+05 -8.969597221575645963e+05
3.182870619130342971e-01 2.264374231549894090e-02 8.552060878122378362e-01 3.347683232788111418e+00 9.727615536502880467e-01 -5.149797960357571137e+05 -5.149858012787384214e+05
2.564460856015336465e-01 2.258394145149409532e-02 7.257889099465895111e-01 2.177877018910117091e+00 9.694534905775227251e-01 -3.513417873702007637e+04 -3.514018398000137677e+04
3.564739297355402625e-01 2.212037160275563338e-02 6.238474911472219331e-01 1.720172690462713927e+00 9.703374565527208562e-01 -3.805454402381178079e+04 -3.806054926679308119e+04
3.659634713515055870e-01 2.288343674428092514e-02 8.493894514395812223e-01 3.147664129229474028e+00 9.616174558009948914e-01 -6.513254734683062416e+05 -6.513314787112874910e+05
3.119140967218467786e-01 2.248421645178633535e-02 6.980979991417046726e-01 3.923874398619533466e+00 9.749632876585114793e-01 -3.675915593990946654e+05 -3.675975646420759731e+05
2.568266097845370299e-01 2.263446297681437000e-02 7.139501631832401163e-01 3.808722661478165961e+00 9.613620957408502976e-01 -3.650942201097405632e+04 -3.651542725395535672e+04
3.555417816436006184e-01 2.234538962931529107e-02 8.011317522413337056e-01 3.925859971152443784e+00 9.721757527477381533e-01 -2.815649526972563937e+06 -2.815655532215545420e+06
3.373519569964283371e-01 2.288728392647201848e-02 6.981407958424007409e-01 3.544292135226676965e+00 9.669661977233330319e-01 -1.784856307298669417e+05 -1.784916359728482494e+05
3.816345962734669639e-01 2.277730295146957601e-02 8.838214481896597974e-01 3.558825744519745093e+00 9.661954722810107699e-01 -3.152313830781970639e+06 -3.152319836024952121e+06
3.847439611792766723e-01 2.240762455531074629e-02 8.921990278612981218e-01 2.618554809120817950e+00 9.693338123981080079e-01 -2.967877929817832774e+05 -2.967937982247645850e+05
3.984020575835736100e-01 2.319368921054332927e-02 6.494688920111542085e-01 3.892078999841660725e+00 9.627213655667435921e-01 -9.163706642032639356e+05 -9.163766694462451851e+05
3.769029171334035144e-01 2.252399767160293345e-02 7.058451547617885513e-01 3.941555823625239263e+00 9.784306155757152013e-01 -1.617776648020194378e+06 -1.617782653263175627e+06
2.542657013132101351e-01 2.275845297189776559e-02 5.892514107938289225e-01 2.128451958995396520e+00 9.677659644168322695e-01 -4.996486692801998288e+04 -4.997087217100128328e+04
3.688960967133640412e-01 2.326285597281137554e-02 7.007823491474205468e-01 3.870544698022419183e+00 9.705957093043134920e-01 -1.036309262184435036e+06 -1.036315267427416285e+06
2.659640535985046128e-01 2.271356797033862937e-02 7.934693174274252137e-01 1.769087192387496899e+00 9.723354118502889332e-01 -3.427890404328596196e+04 -3.428490928626726236e+04
3.915225728800497129e-01 2.325157515773220232e-02 8.672317073460880099e-01 2.899066766850353360e+00 9.740048127648502918e-01 -6.009742739018120337e+05 -6.009802791447932832e+05
2.706249090342857100e-01 2.223763441686970460e-02 7.284760283356710442e-01 1.737509326161018164e+00 9.721449231229305488e-01 -4.094360760816700349e+04 -4.094961285114830389e+04
2.602866177289414606e-01 2.267660801735964585e-02 5.979404874298561712e-01 2.956536178293389661e+00 9.714458636439424755e-01 -3.494587213858869654e+04 -3.495187738156999694e+04
2.657013871642294189e-01 2.243054562470534613e-02 5.455498877839703997e-01 1.939922231048965218e+00 9.669850070703230882e-01 -5.208848756730977038e+04 -5.209449281029107078e+04
2.914972832470090203e-01 2.244523495348711706e-02 7.699802198610479209e-01 1.760532069714888737e+00 9.656139298505119761e-01 -3.089619255679380512e+04 -3.090219779977510552e+04
