# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [-1.0,5.0]
#            #       - etaIA: [-5.0,5.0]
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          aIA          etaIA        log_w   log_l
3.931035180881878310e-01 2.295241522022487685e-02 8.505624728440164262e-01 3.013300261510736267e+00 9.731807666872845930e-01 1.838515038663956602e+00 -8.048028320869660135e-01 -1.220471916761666769e+06 -1.220487157944876468e+06
3.229639954948724245e-01 2.267523985480871321e-02 7.343293210359440604e-01 3.823055765362745717e+00 9.684880656088010742e-01 4.100578130112285002e+00 -1.403529612525974635e+00 -1.188365809810466366e+06 -1.188381050993676065e+06
3.664402627254953471e-01 2.249833851409987345e-02 5.737483567788441707e-01 2.697213705253065363e+00 9.638614077816726189e-01 3.613993823007366046e+00 9.592859484993434549e-01 -8.600577001328843471e+04 -8.602101119649810425e+04
3.737595888802878741e-01 2.323883006970208637e-02 7.496950725370118418e-01 3.644492433088308836e+00 9.644897675401292725e-01 4.349058568474386988e+00 -2.915846618750901342e+00 -1.977856815142499050e+06 -1.977872056325708749e+06
3.936096914011152359e-01 2.334968763656648794e-02 5.168048470614046153e-01 3.455525534228658380e+00 9.651381650511231536e-01 4.641407512870355134e+00 3.092357556828828180e+00 -4.949157589427962154e+07 -4.949159113546282798e+07
3.376648910391715774e-01 2.261408091092160025e-02 7.642905838542040087e-01 3.005300704063276207e+00 9.714678581158066040e-01 2.400648420102438063e+00 4.978299448319594589e+00 -4.732055027026250839e+09 -4.732055042267434120e+09
2.836339046011497333e-01 2.279416023624933688e-02 8.164416833719509992e-01 3.456854499234157885e+00 9.711436433660238787e-01 1.536550552098601585e+00 2.675700457427499401e+00 -9.275981063728813315e+05 -9.276133475560910301e+05
3.763751945896015583e-01 2.298075239574621370e-02 5.960248604537933259e-01 3.626297954082470021e+00 9.721469124203810930e-01 2.049383897416541256e+00 4.994528455112387633e+00 -4.519687076822114944e+09 -4.519687092063298225e+09
3.922578160177229156e-01 2.302955114581243037e-02 6.074149838094389242e-01 3.244408928064569597e+00 9.693059421031110512e-01 -9.253632553774808756e-01 2.281019105368564226e+00 -1.720443208817589621e+05 -1.720595620649686316e+05
3.024369690070632388e-01 2.263672966849644350e-02 7.907877656795196941e-01 3.848627614462302837e+00 9.713397829052505816e-01 3.184648144278101611e-01 4.369547512404508893e+00 -2.071372115171660436e+06 -2.071387356354870135e+06
3.522356103740142408e-01 2.244801800202498449e-02 8.449153694068560760e-01 2.552525283133796563e+00 9.765270155935905638e-01 1.366086659483769949e+00 1.689236243978641028e+00 -1.350856066033712705e+05 -1.351008477865809400e+05
2.685879076909243879e-01 2.225469624885589165e-02 5.289469728490048261e-01 2.327162966397899879e+00 9.620441974576722233e-01 1.854764111563941498e+00 2.392502048852467311e-01 -8.874504853941334295e+04 -8.876028972262301249e+04
3.059266118691944536e-01 2.263657782861313097e-02 8.605645618834737443e-01 3.909732268225142526e+00 9.722429916242533166e-01 -2.675462866072211288e-01 -4.298590575597886598e+00 -3.588960728327061515e+06 -3.588975969510270748e+06
2.989570916062345707e-01 2.224270274120126317e-02 6.998509114519486651e-01 3.946920286782215292e+00 9.720491447196702994e-01 -5.321883902234707531e-01 -1.586662545699635274e-02 -6.062627272135494277e+05 -6.062779683967591263e+05
3.829094487591436224e-01 2.253690529787815908e-02 7.735314376589408347e-01 2.848612357102793702e+00 9.695622680478268585e-01 1.125817490047181124e+00 7.472941507675656680e-01 -2.302220503159133659e+05 -2.302372914991230355e+05
3.631597372195469742e-01 2.326528205913141675e-02 7.517799224489086773e-01 3.444988105621104246e+00 9.679898029020760353e-01 3.213767325107480310e+00 2.199596685397668949e+00 -1.006639174733851291e+07 -1.006640698852172308e+07
2.794947006011027080e-01 2.256929443763732931e-02 8.090708127951509177e-01 3.213503307591659919e+00 9.665313994966173716e-01 2.199511436699180145e+00 4.149985644631598802e+00 -7.725514994760788977e+07 -7.725516518879109621e+07
3.537207499529078092e-01 2.311447972420131378e-02 7.556564203546149994e-01 2.991823945958025810e+00 9.703868240464221806e-01 4.516626461306172402e+00 4.840870658300650220e+00 -4.324165587866125488e+10 -4.324165589390243530e+10
3.910322554658101635e-01 2.250481058310704191e-02 6.876876010173258447e-01 3.428348936448141870e+00 9.790304693751753495e-01 -7.747411359411502385e-01 3.586578159519023146e+00 -3.578614360783337150e+06 -3.578629601966546383e+06
3.807518030762472305e-01 2.209244569923184132e-02 5.480919076442436477e-01 2.791880590468348800e+00 9.730602531196417271e-01 1.501452551076664754e+00 4.149669519733990342e+00 -5.582112711477370001e+06 -5.582127952660580166e+06
3.672283911568053338e-01 2.259205164108099573e-02 8.419994549444814735e-01 3.888814028737963113e+00 9.675790685135455815e-01 4.119571966250085815e+00 -3.938612303618702626e+00 -7.341448388616341166e+06 -7.341463629799551331e+06
3.494104935594725125e-01 2.268671998403503851e-02 7.887189550562552220e-01 3.450766548997425964e+00 9.693207503095960798e-01 3.302805914477302096e+00 2.679845167487728830e-01 -1.615297232943312498e+06 -1.615312474126522196e+06
3.572440001877422722e-01 2.242033876125194142e-02 8.166459165886524874e-01 2.425006471738061276e+00 9.637629570111350130e-01 -5.373162164337474955e-02 4.837892321850954858e+00 -5.117718373994380818e+04 -5.119242492315347044e+04
3.731237660639699083e-01 2.221860078207544067e-02 7.977314915038280496e-01 1.746035133843092613e+00 9.739030842171861879e-01 2.666294629377499170e+00 3.052647318047217340e+00 -1.427379581777082989e+06 -1.427394822960292688e+06
3.299645966636173267e-01 2.236100999707926751e-02 5.636005346733585775e-01 2.652153868358979594e+00 9.766854520397465489e-01 3.909363067101677025e+00 3.772411877513423661e+00 -1.990294438089323789e+07 -1.990295962207644805e+07
2.850042084643516493e-01 2.234437292652123944e-02 6.265949127205718838e-01 2.158667540031544707e+00 9.664895327315169427e-01 4.068596024996174343e+00 3.006905141011959159e+00 -4.912412889241200173e+05 -4.912565301073296578e+05
3.731947510262102474e-01 2.258353831733934253e-02 7.674787103453398762e-01 3.699729643951281233e+00 9.694368783578080073e-01 2.140982243822853182e-01 5.540550662903349632e-01 -2.706460555184547789e+06 -2.706475796367757022e+06
3.148077970921886459e-01 2.281772279157926256e-02 8.525045707025065145e-01 2.465049969033257238e+00 9.715092968802028217e-01 4.754943821511549373e+00 4.647569075131595895e+00 -7.216692806972080231e+09 -7.216692822213263512e+09
2.571428444901158739e-01 2.252405096100897411e-02 7.119786656190008056e-01 3.610067768616789685e+00 9.705487799951901806e-01 4.950589340106334113e+00 1.530109179398589703e+00 -1.179959335332667688e+06 -1.179974576515877387e+06
3.154210205620158747e-01 2.209463284247947801e-02 6.961411488132059899e-01 3.620760368346196856e+00 9.735045000163643492e-01 4.647938472309291136e+00 6.980587483208902100e-01 -1.333897742595600896e+06 -1.333912983778810594e+06
3.076711051489722792e-01 2.224484501287662605e-02 8.291236079128598835e-01 2.865246535719463417e+00 9.669020323960486607e-01 3.642893918479623849e+00 1.590710421035375077e+00 -8.929515862107282737e+05 -8.929668273939379724e+05
2.839691288472904196e-01 2.291889363536368102e-02 6.530241797954228211e-01 1.798854472147646710e+00 9.712995768102231642e-01 2.014864236632516459e+00 4.537570743347950852e+00 -3.001469995966472197e+06 -3.001485237149681430e+06
2.659283160840492100e-01 2.291197855249287735e-02 7.524223821008364510e-01 3.760032089381970977e+00 9.700906625072200917e-01 -4.084583712017626489e-01 3.035430033358395008e-01 -2.321081422976765316e+05 -2.321233834808862011e+05
3.799975235906885018e-01 2.195003850943481535e-02 5.004829390845821901e-01 2.669069011399326286e+00 9.786721483782117037e-01 3.982967015003288758e+00 2.669118425408373518e+00 -1.028293479458740796e+06 -1.028308720641950495e+06
3.972588642053667685e-01 2.306716798488371925e-02 6.336320615245801813e-01 3.817059163515883036e+00 9.627684855702710598e-01 1.766668052623344920e+00 -7.276945275669319813e-01 -9.532645518049504608e+05 -9.532797929881601594e+05
3.328071620140261588e-01 2.309151130908511027e-02 6.309030181377577318e-01 2.100104972386182212e+00 9.679688092246340192e-01 8.441770141624320711e-01 4.714725255763530853e+00 -8.700577524687835248e+05 -8.700729936519932235e+05
3.836458780588237194e-01 2.257201726230936151e-02 6.718468739416639801e-01 3.258652946717639054e+00 9.718037172697393533e-01 4.698371281846474012e+00 -4.979345919413754373e+00 -2.433739606702037272e+05 -2.433892018534133967e+05
3.024805555103588506e-01 2.331784228233535483e-02 6.826787719863608439e-01 3.666517394148773423e+00 9.663041302728426762e-01 1.515687227127486381e+00 1.278375546233858628e+00 -1.366797466935539851e+05 -1.366949878767636546e+05
3.231644301910914230e-01 2.257428383804617467e-02 6.448717012471349985e-01 3.722010475829207188e+00 9.652011129496691488e-01 2.273288990327718473e+00 -5.300530433544903275e-01 -1.526631521831340797e+05 -1.526783933663437492e+05
3.242927550250830349e-01 2.217917494414313809e-02 5.583149015591943876e-01 3.731577392495987411e+00 9.628806173949596703e-01 1.796532418835424583e+00 3.525688879178348500e+00 -3.519762746032531839e+06 -3.519777987215741072e+06
3.059912118797907254e-01 2.255731632177843116e-02 8.507744200343330121e-01 2.894349954920907297e+00 9.708424096989539676e-01 3.238757231785662771e-01 4.451186603207906600e+00 -3.173382748434133828e+05 -3.173535160266230232e+05
3.275087080122909833e-01 2.280259541938364082e-02 8.268983621436207798e-01 3.071097487971116369e+00 9.735788426838265508e-01 2.164946662558824730e+00 -2.386146840809848513e+00 -3.203402650015040417e+05 -3.203555061847136822e+05
3.836806353774580569e-01 2.267119077636188876e-02 6.498397605887530348e-01 2.594339688430560287e+00 9.708290973512150313e-01 2.339884290529745670e+00 4.657974885359138284e+00 -4.746698388369955420e+08 -4.746698540781787634e+08
3.906993919722642761e-01 2.262566867302422124e-02 7.217453837200944466e-01 3.706732568292282259e+00 9.749914364840037706e-01 1.399402293301137856e+00 -3.315465308078577866e+00 -2.253779938315430190e+06 -2.253795179498639423e+06
3.577981511571304840e-01 2.232326816930453595e-02 8.130641922666276278e-01 2.487645938419233094e+00 9.655037659422401886e-01 1.722921680596100735e+00 4.013323447800901889e+00 -2.452208941942824051e+07 -2.452210466061145067e+07
2.550954881210502623e-01 2.216555929199698002e-02 5.961755840205610335e-01 3.907330367509237234e+00 9.729914474056163831e-01 6.466734620087213337e-01 4.575550987979809747e+00 -7.850885415849831188e+05 -7.851037827681928175e+05
2.654735307768025798e-01 2.266990852876467691e-02 8.211767387565036547e-01 3.712808701601521655e+00 9.725775569363195316e-01 3.386722047507762845e+00 4.647012495491331663e+00 -5.933304871915020943e+09 -5.933304887156204224e+09
3.910909286957326980e-01 2.216055381883296274e-02 6.779256619515319215e-01 3.540222530400198409e+00 9.763091006079056555e-01 -5.275185264578678979e-01 2.049689019585375860e+00 -1.238982046145620057e+06 -1.238997287328829756e+06
3.303151146874423461e-01 2.279204260360587556e-02 6.454273760678005400e-01 3.827690624640545103e+00 9.700810596002953368e-01 4.777672042110358674e+00 -1.773450420245853643e+00 -4.181397146360467304e+05 -4.181549558192563709e+05
3.918708828439131375e-01 2.302419579480687387e-02 6.940836272335317858e-01 3.258497371287075950e+00 9.720650040763513244e-01 4.195497982050452990e+00 2.066318217064708307e+00 -1.272437511979978904e+07 -1.272439036098299921e+07
2.563907792059482160e-01 2.286993035628075155e-02 8.384791154178921069e-01 3.584366455204626600e+00 9.692774526564286175e-01 4.816692428226067690e+00 2.547919723766574052e+00 -2.097075989171086624e+07 -2.097077513289407641e+07
3.410781446441919496e-01 2.255690518860416910e-02 8.325598932674784791e-01 3.489367204808191403e+00 9.761903886967425725e-01 7.321035371660971069e-01 3.661187698761333209e+00 -4.157733846640318632e+06 -4.157749087823527865e+06
3.452153288408874587e-01 2.320372285623429134e-02 8.297001252221216649e-01 3.343093002501741573e+00 9.737263098034638631e-01 4.903511293878579647e-01 -1.273617903253864370e+00 -1.169800075951462379e+06 -1.169815317134672077e+06
3.934039894318480668e-01 2.261493242692723393e-02 7.194491265564437743e-01 2.520675645562022282e+00 9.692785096444970216e-01 4.063334593235128800e+00 2.901754135825516556e+00 -2.037992965926808864e+07 -2.037994490045129880e+07
3.971858493474684781e-01 2.300066048217782808e-02 5.253586213482905887e-01 3.824400042374541897e+00 9.681490666061164374e-01 2.991244901611177287e+00 8.433760258263660603e-01 -3.694262449051088770e+05 -3.694414860883185174e+05
3.572900364617661029e-01 2.277731912354427971e-02 7.820549609688562942e-01 3.330252790968153853e+00 9.691339447748028579e-01 4.352891892427773080e+00 -2.405634603621065182e+00 -9.388425795218242565e+05 -9.388578207050339552e+05
3.468406951671593186e-01 2.283096951692278886e-02 7.049463078305956421e-01 3.970944831097286354e+00 9.724163364977783663e-01 6.519260446031140965e-01 2.860919988124886792e+00 -1.733566294701929437e+06 -1.733581535885139136e+06
3.853938521743681678e-01 2.221656542731383424e-02 6.598798227533324567e-01 3.474758232349080878e+00 9.683341602642466794e-01 4.145636227545475450e+00 9.137906719535529021e-01 -2.307087836723133456e+06 -2.307103077906342689e+06
3.900179321891745765e-01 2.276966589043576128e-02 5.941756256517563006e-01 2.952589565093521884e+00 9.676456768678970422e-01 3.927279643643165841e+00 4.937048720753825393e+00 -1.516506701889127350e+10 -1.516506703413245583e+10
3.856870802658649566e-01 2.245836766009467328e-02 8.325634952388070165e-01 3.742531575671574018e+00 9.701755548132465767e-01 2.013256400838781879e+00 -4.088223754681676425e+00 -6.277113598455095664e+06 -6.277128839638305828e+06
3.707214359689532945e-01 2.236325455901456982e-02 8.095323658524673505e-01 3.633902276508885087e+00 9.740373649162520353e-01 1.481053949646766732e+00 -8.509967039478070205e-01 -3.123996739452504087e+06 -3.124011980635713320e+06
3.772030981801520744e-01 2.281996864917081730e-02 6.580557295064506373e-01 3.179747580299065568e+00 9.682480596790909999e-01 -8.331430638829973034e-01 -8.327748206198766212e-01 -1.273372722009989229e+05 -1.273525133842085925e+05
3.817447634692875957e-01 2.251855602007440948e-02 8.928500337404439158e-01 1.800593324127618633e+00 9.726508112169566234e-01 3.729778905873654793e+00 2.829051730673484144e-01 -1.100963084432711330e+05 -1.101115496264808025e+05
2.597003402200112054e-01 2.222939032307444732e-02 7.527171021729761602e-01 2.703638109757660501e+00 9.685498458391135213e-01 4.435266804357985926e+00 8.841711266761853594e-01 -8.949105395748533192e+04 -8.950629514069500146e+04
2.924992062408238724e-01 2.272717425644642589e-02 7.170813932048798467e-01 3.561837330350867248e+00 9.659996607892502585e-01 3.898612114531824879e+00 4.059679927521813170e+00 -7.295742874201319218e+08 -7.295743026613150835e+08
3.790358420811906770e-01 2.273202320245769348e-02 8.466952983681490519e-01 3.660377474335457570e+00 9.663397296383223756e-01 1.865413159838328561e+00 4.477092251153752755e+00 -4.185454390517179489e+09 -4.185454405758362770e+09
2.828943425273434120e-01 2.256043874075947669e-02 5.037020889476520047e-01 2.099481558835244677e+00 9.647667423557422239e-01 2.515362656430823574e+00 -3.510515057781997683e+00 -9.074732249515992589e+04 -9.076256367836959544e+04
3.198576865129459379e-01 2.315667481947370279e-02 7.887011224920990049e-01 3.840406748726258535e+00 9.701981939644384045e-01 4.757499742683674704e+00 -3.854962301386439805e+00 -1.920798134382270509e+06 -1.920813375565480208e+06
3.854429082779357585e-01 2.346904494783308426e-02 8.024163323451951602e-01 3.021332552460778587e+00 9.663928540721414828e-01 -1.259160105194758739e-01 2.316775238567460704e+00 -7.805815255713238148e+05 -7.805967667545335134e+05
2.564783840454646913e-01 2.215027669974283658e-02 8.203839569840349899e-01 3.486924330996640897e+00 9.654966559065142340e-01 -3.995337518230919205e-01 -3.769680065858069806e+00 -1.651956878980201727e+05 -1.652109290812298423e+05
3.276461359578588528e-01 2.262158641817074711e-02 7.981479989325075408e-01 2.958502417736443402e+00 9.750736865660549757e-01 -5.204994808097793690e-01 4.006085025954837064e+00 -7.775729439151942497e+05 -7.775881850984039484e+05
3.484355684260855845e-01 2.306109057382719346e-02 8.822143085643245897e-01 2.353465637725028703e+00 9.706133552089946104e-01 4.184840002140592041e+00 1.996740566258967675e+00 -2.872381610197982285e+06 -2.872396851381191518e+06
3.621789542610764356e-01 2.236189551211098525e-02 6.464090332210062906e-01 3.808681601285766938e+00 9.683525266387120745e-01 2.747134298806877872e+00 -4.968534861461616714e+00 -6.378407140282934997e+05 -6.378559552115031984e+05
2.574849553573050898e-01 2.249729471488352492e-02 6.656706849387834524e-01 3.765059907958547392e+00 9.695040178859103408e-01 4.291715883958603150e+00 2.865329181730672303e+00 -9.445676619479592890e+06 -9.445691860662803054e+06
3.484819316087043872e-01 2.260604228973865301e-02 5.742128426688497544e-01 3.945784079585211934e+00 9.675607392889519209e-01 1.558502061552885731e+00 -1.875684546483159743e+00 -1.331602065273510816e+05 -1.331754477105607511e+05
2.677408301494254572e-01 2.232563539309631237e-02 7.652039875834805160e-01 2.797061321027155323e+00 9.657031275825250782e-01 2.579032160923298012e+00 2.543988084826837692e+00 -2.684255240253186203e+05 -2.684407652085282607e+05
