# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: 0.1446
#            #       - etaIA: 2.21
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns        log_w   log_l
3.950607642872605019e-01 2.296285282323024673e-02 7.300904639426971654e-01 3.146036037463802337e+00 9.682550808222215588e-01 -4.617890133047848358e+05 -4.617959414206474321e+05
3.411054449740894556e-01 2.295480104575613883e-02 8.818181098896960002e-01 2.597731184682892103e+00 9.734846851746926655e-01 -1.481581004940592684e+05 -1.481650286099218938e+05
3.530304676915928530e-01 2.293688759461456894e-02 5.761798504313333513e-01 3.898639739605380683e+00 9.718266463400636601e-01 -1.228085716950473579e+05 -1.228154998109099834e+05
3.811667179005413519e-01 2.307805490201808238e-02 7.827505530398837230e-01 3.656230007405950833e+00 9.663613413297366117e-01 -2.893576393391565885e+06 -2.893583321507428307e+06
2.520049476162608548e-01 2.319817552772085456e-02 7.018881697576041523e-01 2.211676152493061487e+00 9.655774563470913563e-01 -6.550489339776876295e+04 -6.551182151363138837e+04
3.290423355229880054e-01 2.279947593101676329e-02 7.974709054483813953e-01 3.946048930649430631e+00 9.657103654018908134e-01 -2.997176344476746861e+06 -2.997183272592609283e+06
2.536537156319191855e-01 2.276063413044602732e-02 5.298953477042428473e-01 2.258421414307741681e+00 9.769269593799312368e-01 -8.684743012188599096e+04 -8.685435823774861638e+04
3.138546074500637162e-01 2.329572161205645947e-02 8.641712237301339972e-01 3.478316443563943317e+00 9.754138836742967111e-01 -1.220154887200436555e+06 -1.220161815316299209e+06
3.812126970320847685e-01 2.165013654132342397e-02 5.960094818833548969e-01 1.742422561809798376e+00 9.793057328108207837e-01 -6.135623379403953732e+04 -6.136316190990216273e+04
3.523960641240863612e-01 2.252160705073115096e-02 7.775096834299919379e-01 3.514665562119403397e+00 9.712833895873889123e-01 -1.207037622703932459e+06 -1.207044550819795113e+06
3.212652569837920469e-01 2.320746095286960187e-02 5.282287848266111752e-01 2.475324820475011567e+00 9.741111726694854367e-01 -7.291150039289020060e+04 -7.291842850875282602e+04
3.342249213841562150e-01 2.229909941481002245e-02 7.170959484671624029e-01 3.270154436359058003e+00 9.739317262423720090e-01 -1.372520016917359317e+05 -1.372589298075985571e+05
2.504882110517392957e-01 2.309920844271931561e-02 6.256151244171862524e-01 2.457378336427083365e+00 9.721156153359775676e-01 -7.338165651907525898e+04 -7.338858463493788440e+04
3.725760304112306076e-01 2.227990286451235827e-02 8.428090591824914934e-01 2.673846773953724831e+00 9.705026938616730936e-01 -2.667632874816515250e+05 -2.667702155975141213e+05
2.837741562371771109e-01 2.282016625483394498e-02 6.319263014459510774e-01 2.441128631161683327e+00 9.660687326119523632e-01 -5.956319834345674462e+04 -5.957012645931937004e+04
3.749920501638612236e-01 2.169665986499433319e-02 5.088342030987516029e-01 2.546015827399216391e+00 9.724877435701273498e-01 -5.754263255362163181e+04 -5.754956066948425723e+04
3.468397697926324241e-01 2.204993360433346594e-02 7.746884939317270069e-01 3.548170680605086780e+00 9.692828287711908741e-01 -1.181173230538567994e+06 -1.181180158654430648e+06
3.896222046470564360e-01 2.240280146753304349e-02 8.766292397683905779e-01 3.660061890442265486e+00 9.671212466499343741e-01 -7.039660420181052759e+06 -7.039667348296915181e+06
2.512858951311626732e-01 2.248848833466587580e-02 5.183229431444941193e-01 2.821974707477651112e+00 9.722174230590477917e-01 -8.299094747487263521e+04 -8.299787559073526063e+04
3.241315938040216227e-01 2.298130851297764191e-02 8.458021999327469675e-01 3.330839332167370159e+00 9.743975771962876120e-01 -8.283879365239986219e+05 -8.283948646398612764e+05
3.599666403885087296e-01 2.287864339552269158e-02 6.538880565919092946e-01 3.542369821135726404e+00 9.668858413618658387e-01 -2.320197096083851939e+05 -2.320266377242478193e+05
3.165732038554774919e-01 2.258968688623563120e-02 8.313056944034300511e-01 3.270305717819384395e+00 9.701977352406387922e-01 -4.909769461255735951e+05 -4.909838742414361914e+05
3.916915080915019387e-01 2.278451985934063645e-02 7.200410620985442378e-01 3.665677921420743335e+00 9.653915486127596646e-01 -1.841872345259268768e+06 -1.841879273375131423e+06
2.708955110876579697e-01 2.279386916275353767e-02 8.951042695206654631e-01 3.320774630551019957e+00 9.645031779449029230e-01 -3.493462015003075940e+05 -3.493531296161701903e+05
3.792025505135580010e-01 2.265407766112572871e-02 7.518707477254558125e-01 3.373201444198459242e+00 9.716731222923561395e-01 -9.662859688572324812e+05 -9.662928969730951358e+05
2.815765344698819561e-01 2.263527722744873572e-02 5.921137294606860779e-01 2.791896233151026419e+00 9.773517554678727848e-01 -5.649391889873025502e+04 -5.650084701459288044e+04
2.998694378650506587e-01 2.242128321942417346e-02 5.840192015128623515e-01 2.550393016832399162e+00 9.651703148632619911e-01 -6.165202381974714081e+04 -6.165895193560976622e+04
2.740666941968285530e-01 2.289104254500383059e-02 7.343992679966824255e-01 2.026174428504589287e+00 9.685765421099874484e-01 -5.553753812032166752e+04 -5.554446623618429294e+04
2.772377471785532621e-01 2.225185491079538502e-02 7.559959015011017414e-01 3.509577067213439427e+00 9.704707114308110949e-01 -1.104062059388304770e+05 -1.104131340546931024e+05
3.880126751032036969e-01 2.237523956023910326e-02 8.522847537020352693e-01 3.889364231441735598e+00 9.696408867718578906e-01 -9.732144107657760382e+06 -9.732151035773623735e+06
3.947201900157086829e-01 2.288554267658671204e-02 8.830376126431458417e-01 3.900907599285428518e+00 9.706895409929852114e-01 -1.295511806318104081e+07 -1.295512499129690416e+07
2.650637946268655232e-01 2.294450988856876900e-02 5.553405243365762134e-01 3.251628864250760031e+00 9.654547308876711975e-01 -5.866585600496073312e+04 -5.867278412082335853e+04
3.770967689937603229e-01 2.256397769443107409e-02 8.692976692953888751e-01 2.844221754833136551e+00 9.748628890419008819e-01 -7.017232629945463268e+05 -7.017301911104089813e+05
2.561750200669957733e-01 2.246598399286408795e-02 5.374775368767525929e-01 2.066351399117469789e+00 9.710754589724632790e-01 -8.729118892598769162e+04 -8.729811704185031704e+04
3.961561124169341030e-01 2.276309337714931685e-02 7.202608862574667592e-01 2.878398639132590198e+00 9.714253539220485401e-01 -1.486914221944200981e+05 -1.486983503102827235e+05
3.884329705359511609e-01 2.280769459846541600e-02 6.982657607006118594e-01 3.491309507770498310e+00 9.659442537270086504e-01 -7.944629980953409104e+05 -7.944699262112035649e+05
3.121815803437539838e-01 2.291448610135504715e-02 5.235906214014695026e-01 3.018645608299177496e+00 9.663145086467502809e-01 -5.832401379608504067e+04 -5.833094191194766609e+04
3.569300512694989491e-01 2.275420016270798471e-02 8.059584562394543905e-01 3.897649971845207340e+00 9.679629895908401505e-01 -4.548906030930252746e+06 -4.548912959046115167e+06
3.513251953482008916e-01 2.199701259746425497e-02 8.985950012559653644e-01 3.978290899823239357e+00 9.672451320013240039e-01 -1.007754672220704332e+07 -1.007755365032290667e+07
3.839808440645027243e-01 2.281846119757984653e-02 7.544818236581454229e-01 3.016271800150899018e+00 9.696831321538331716e-01 -3.379425676803699462e+05 -3.379494957962325425e+05
3.659072541428324277e-01 2.233316776210581348e-02 7.933801624435719013e-01 2.988152336399345188e+00 9.680760787619477892e-01 -3.652282047754151863e+05 -3.652351328912777826e+05
3.789365694263135964e-01 2.279131061816758869e-02 7.067331496587599959e-01 3.763490569521782625e+00 9.704144111052432908e-01 -1.688941250228286721e+06 -1.688948178344149375e+06
3.334252204779036832e-01 2.323056629659715766e-02 8.955065561566708521e-01 2.772271002016589048e+00 9.692449647206885510e-01 -2.759672951316413237e+05 -2.759742232475039200e+05
2.702123136309099172e-01 2.242539466158607886e-02 8.842323163716711010e-01 3.029178609408317513e+00 9.663895522225144363e-01 -9.103331324231570761e+04 -9.104024135817833303e+04
2.809628832592943604e-01 2.242362124273419854e-02 6.555198092880264449e-01 2.015098558011352292e+00 9.748316853350441624e-01 -6.956313295095512876e+04 -6.957006106681775418e+04
2.528636067845580482e-01 2.222520979868590138e-02 8.838489366705837291e-01 3.998838768392119825e+00 9.701061288071958222e-01 -1.596229991820745869e+06 -1.596236919936608523e+06
3.555933153576420480e-01 2.360005305254475258e-02 7.857283984226297591e-01 2.827610005452856790e+00 9.724040332540686560e-01 -1.225662912132170313e+05 -1.225732193290796567e+05
3.807933994557789470e-01 2.244836280798809952e-02 5.163663244682090703e-01 2.335491959918234439e+00 9.668784903940259579e-01 -6.325772035360005248e+04 -6.326464846946267789e+04
3.811122317885367594e-01 2.277137763928761827e-02 5.926916826813628525e-01 3.781211602347806178e+00 9.693694862694874903e-01 -2.773421696457643993e+05 -2.773490977616269956e+05
3.940217958210562310e-01 2.275072819673295416e-02 8.961572294356818791e-01 2.924558864181899143e+00 9.691060483139615211e-01 -1.444560439468212426e+06 -1.444567367584075080e+06
3.219309863593822207e-01 2.244238957894845871e-02 8.465075697501394103e-01 2.792288083325735748e+00 9.749318589326275708e-01 -1.165191890279086219e+05 -1.165261171437712474e+05
3.940743836897717678e-01 2.281046208041526829e-02 8.894653932016093334e-01 2.425716304300603809e+00 9.765337238154067068e-01 -3.047061175322622876e+05 -3.047130456481248839e+05
3.785366558242037049e-01 2.315178625534463838e-02 8.212552107777233434e-01 3.169428072229536042e+00 9.744066264414802392e-01 -1.120242119887545938e+06 -1.120249048003408592e+06
3.306946378864785707e-01 2.215889287465584723e-02 6.638045776234030582e-01 3.902665875382028915e+00 9.716535281216055475e-01 -5.340733148763834033e+05 -5.340802429922460578e+05
3.482938299616467615e-01 2.285960108779259287e-02 7.271419932019801413e-01 3.710907630013136504e+00 9.655262675278523110e-01 -1.042608066460911767e+06 -1.042614994576774421e+06
3.491416930924898798e-01 2.303120676039214360e-02 6.811617273096522984e-01 3.477474062749222661e+00 9.710604345502628076e-01 -2.307925491871086415e+05 -2.307994773029712669e+05
3.534071280526546177e-01 2.230844874261463801e-02 7.491983300472249141e-01 2.967650953985535356e+00 9.740706496418115590e-01 -1.226858038184116449e+05 -1.226927319342742703e+05
3.553005569474302350e-01 2.269159918240248874e-02 7.927852385406264357e-01 3.940714081053302564e+00 9.687622575312169193e-01 -4.413104724248625338e+06 -4.413111652364487760e+06
2.587878963351790129e-01 2.158113904397548216e-02 6.474010355191727184e-01 2.603192699792725939e+00 9.647635678391607295e-01 -5.775199812857008510e+04 -5.775892624443271052e+04
3.878556201291510908e-01 2.310522421604927976e-02 6.157980158154949812e-01 3.693849689504808076e+00 9.640583464587596518e-01 -3.721272270159137552e+05 -3.721341551317763515e+05
2.932808751334911035e-01 2.245820406997828950e-02 5.506971764495404154e-01 2.299317713860706824e+00 9.715545226049702165e-01 -7.821940718247360201e+04 -7.822633529833622742e+04
2.951155667897393253e-01 2.248124764842815426e-02 8.823104695195472802e-01 2.719984210247925915e+00 9.662765570617151134e-01 -5.162248629376506142e+04 -5.162941440962768684e+04
2.926787326001921152e-01 2.246944137135609837e-02 5.939503137448349790e-01 2.531067882310054973e+00 9.654131393560091423e-01 -6.245699003482060652e+04 -6.246391815068323194e+04
3.476204004859622110e-01 2.343507731660226384e-02 7.334936104761408115e-01 2.966754972486860709e+00 9.675929519867368933e-01 -6.004560229985292972e+04 -6.005253041571555514e+04
2.809681652302202792e-01 2.283889600030475017e-02 5.278607079670347701e-01 3.270802815158593724e+00 9.760129502209746732e-01 -5.971762295749774057e+04 -5.972455107336036599e+04
3.986860405252335982e-01 2.317072181870431444e-02 7.253634837146453185e-01 2.707384277099346370e+00 9.735549653578065010e-01 -7.714316345108908718e+04 -7.715009156695171259e+04
2.953524105077800499e-01 2.232571900510367177e-02 5.700963804611499652e-01 2.454180672527656260e+00 9.646333082123390579e-01 -7.022574232426307572e+04 -7.023267044012570113e+04
3.619177354828544413e-01 2.251583618060213135e-02 5.224157259346199345e-01 1.907733450151241072e+00 9.690208731599049274e-01 -7.775470503484207438e+04 -7.776163315070469980e+04
2.705136753704157626e-01 2.346428917974472880e-02 6.713372222532760780e-01 1.777151078610377466e+00 9.756326592496379346e-01 -7.674697815463237930e+04 -7.675390627049500472e+04
