# 
# ##############################################################
# # Cosmology Pipeline Configuration
# #------------------------------------------------------------
# # Observable: WL+XC+GC (3x2pt)
# # Sky Fraction (fsky): 0.4
# # Redshift Binning: 5 bins (0.001 ≤ z ≤ 2.5)
# # for n(z) Euclid-like
# # Lensing & Clustering Scales:
# #   - l_min: 10
# #   - l_bin: 100
# #   - l_max (WL): 3000
# #   - l_max (GC, XC): 1000
# #
# # Data Model:
# #   - Nonlinear Power Spectrum: HMcode (0)
# #   - Galaxy Bias Model: b1 constant within bins (0)
# #   - Intrinsic Alignments: zNLA (0)
# #   - Baryon Model: no baryons (0)
# #   - Parameters:
# 
# #       - Omega_m: 0.31
# #       - Ombh2: 0.02268
# #       - h: 0.68
# #       - log10As: 3.044
# #       - ns: 0.97
# #       - Mnu: 0.0
# #       - w0: -1.0
# #       - wa: 0.0
# #       - aIA: 1.72
# #       - etaIA: -0.9
# #       - b1_1: 0.87074
# #       - b1_2: 1.13866
# #       - b1_3: 1.29472
# #       - b1_4: 1.47662
# #       - b1_5: 1.98016
# #       - b2_1: 1.74148
# #       - b2_2: 2.27732
# #       - b2_3: 2.58944
# #       - b2_4: 2.95324
# #       - b2_5: 3.96032
# #       - b1L_1: -0.12926
# #       - b1L_2: 0.13866
# #       - b1L_3: 0.29472
# #       - b1L_4: 0.47662
# #       - b1L_5: 0.98016
# #       - b2L_1: 0.28213962
# #       - b2L_2: 0.23224054
# #       - b2L_3: 0.2329498
# #       - b2L_4: 0.26144022
# #       - b2L_5: 0.49562399
# #       - bs2L_1: 0.0
# #       - bs2L_2: 0.0
# #       - bs2L_3: 0.0
# #       - bs2L_4: 0.0
# #       - bs2L_5: 0.0
# #       - blaplL_1: 0.0
# #       - blaplL_2: 0.0
# #       - blaplL_3: 0.0
# #       - blaplL_4: 0.0
# #       - blaplL_5: 0.0
# #       - Omega_b: 0.04904844290657438
# #       - Omega_nu: 0.0
# #       - fb: 0.1582207835695948
# #
# # Theory Model:
# #   - Nonlinear Power Spectrum: HMcode (0)
# #   - Galaxy Bias Model: b1 constant within bins (0)
# #   - Intrinsic Alignments: zNLA (0)
# #   - Baryon Model: no baryons (0)
# #   - Parameter priors:
# 
# #       - Omega_m: [0.15,0.6]
# #       - Ombh2: N(0.02268,0.00038)
# #       - h: [0.5,0.9]
# #       - log10As: [1.7,4.0]
# #       - ns: N(0.97,0.004)
# #       - Mnu: 0.0
# #       - w0: -1.0
# #       - wa: 0.0
# #       - aIA: [0.0,12.1]
# #       - etaIA: [-7.0,6.17]
# #       - b1_1: [0.0,4.0]
# #       - b1_2: [0.0,4.0]
# #       - b1_3: [0.0,4.0]
# #       - b1_4: [0.0,4.0]
# #       - b1_5: [0.0,4.0]
# ##############################################################
# Omega_m    Ombh2    h    log10As    ns    aIA    etaIA    b1_1    b1_2    b1_3    b1_4    b1_5    sigma8    S8    log_w    log_l
0.40120116105669223 0.0223411051226788 0.6128586568796608 3.713252229534227 0.9672444490259963 12.045897795977268 5.043651680360565 1.1986555713554878 1.8210071761035467 1.5793161903895871 1.9374879378447565 3.3556837973780325 1.1701737099869478 1.353227453502908 -52829757.72900404 -62837615.80973932
0.5104427500039417 0.02278526268837103 0.5659329747901236 2.540647195862276 0.9674046467860774 8.70928514535524 5.753518857919998 1.0527005849400686 3.054412696460238 0.30239444415686245 0.10491618856349749 1.3964851117916512 0.6665088971862889 0.8693984141701903 -52212629.3707764 -62220487.45151167
0.16804447201288172 0.02291874165272334 0.6141307893704896 3.787931766193905 0.9747758838738609 9.260738797463288 4.548294282507813 3.7393721516404783 3.7200599097319067 2.9759582783367176 3.0160286086467054 0.7945244973612859 0.5304304335602965 0.39699032407070733 -10100784.406752996 -20108642.487488277
0.3688092460572733 0.023036289176626593 0.6994814739648031 1.805379822148091 0.9725637168595316 9.06686019695791 1.987005651476288 2.6745112579854284 2.963164764884074 3.863478714922475 0.9234005561392471 1.3991654975057948 0.5244101854501778 0.5814486828429345 -5813630.426579587 -15821488.507314868
0.24770603759482973 0.022616153280237743 0.693272274585633 3.7427484057488094 0.9739854421957864 7.299861895842735 5.604706767287233 2.9269545114845874 2.6247796115560362 1.7399254473096333 2.763815099926052 2.6489039024191707 1.017802505722326 0.9248497520806799 -35874154.50631012 -45882012.5870454
0.3568540683876279 0.02248607454711279 0.7372217314641404 2.7821732016863843 0.9681422048289351 10.089959626649307 4.434464134473538 3.15578790202059 3.2564724015557265 1.8167526443209914 0.26401201314200895 3.5724635572392502 0.9122141676596931 0.9949047672093094 -35287248.19421907 -45295106.27495434
0.213445652580451 0.023096426996777303 0.5070441919883042 3.9511960344213364 0.9721486559181179 10.501281214261507 5.507015090822454 0.23612567553294772 3.474890961206136 2.371704782221776 2.961450338294335 2.1480967074835844 0.47110471279589927 0.3973749426635393 -23856779.274077993 -33864637.35481327
0.46005271127504477 0.022826746192708133 0.6145645992988139 3.0672901707392404 0.9694663737821994 0.623263224375348 4.554689004557943 1.4781996248326372 2.9841062887191536 1.889831893300311 0.8216551710182629 2.8270437843251286 0.9257912352082338 1.1464529462976216 -4577500.101157349 -14585358.18189263
0.3590690377963768 0.02342959725755703 0.8387588047921488 2.916854513864784 0.9722376684261138 3.434085323639797 3.757169927531608 2.4960508340078054 1.1054075708477917 2.238759433459795 2.7013356565280846 2.5665951573282624 1.181038641697739 1.2920890882597775 -12852806.632024176 -22860664.712759458
0.3289356050260732 0.022627248688604523 0.6181576604792308 3.547228404536426 0.977668069789052 0.5940131680760743 4.469067973646556 2.709323771062186 2.5864081200599522 2.7569677956685843 3.384382662946649 0.6437440315229166 0.9445971622279246 0.9891028469113337 -3407751.458756119 -13415609.5394914
0.4688037924669627 0.02273336038889508 0.5897119008546138 1.735131542439176 0.9726881979100793 6.919541836204297 3.4115229149001074 1.7491609538666069 2.3677216940622228 2.611425525838359 2.2548173980093242 2.802651944719612 0.45177869823394534 0.5647557749171291 -11591263.122023165 -21599121.202758446
0.5513440711456267 0.023090712218005512 0.5097050971016197 2.845405890239965 0.9703331032674305 8.587738782280594 1.9600885206333274 3.115204217275684 0.94450263404836 1.2753406206134263 3.7869466046441893 2.710905899108786 0.6870443115649278 0.9313983735567851 -9602523.99843134 -19610382.07916662
0.21557522558931824 0.02250771510201456 0.885105565064793 3.117524626681033 0.9688560602113865 8.765281194274607 3.211929930019334 3.782123994709802 1.8689415178440667 3.9998494370874544 2.144067682537771 0.5954974935006385 1.0272026338179627 0.8707528839977671 -11785861.66809076 -21793719.74882604
0.5607420317450508 0.02146545545785123 0.7373376247541029 3.1980324676940928 0.9717056392512986 7.249805006935398 1.9485740091590529 2.0068403068101004 2.4737693884245555 0.6512987742200438 2.7782615710712557 0.48738028986514514 1.4354770347029953 1.9625339436609652 -20552733.595965277 -30560591.67670056
0.2933713728872772 0.022294026063718927 0.8394830756528935 2.23677624082433 0.9702930349410692 5.061495569893214 2.2916087779070633 0.6417980724765933 1.5347775228990606 0.5491929591522644 0.93605696195814 0.1620391166235131 0.7528448249805895 0.7444811545128621 -6851055.790961914 -16858913.871697195
0.4627286031276274 0.023195814397189953 0.738526604802846 1.785642157787593 0.9734514134577322 6.285136117249572 3.8950674480948226 0.7778842055648236 3.2108516613939875 0.6708045594275602 3.809739607357396 0.9788395619328738 0.641452063251545 0.7966485168811688 -22341347.11974843 -32349205.20048371
0.23775418067476944 0.02238519979917124 0.5643067760855383 3.3413833634260097 0.9725998154546956 10.642804576707663 4.9807305973762475 3.8172041239136787 2.90739923724654 2.1854047309112086 0.7153752729232159 0.566340398105929 0.528358480130525 0.47036190001832867 -23599596.32206096 -33607454.40279624
0.419658670655894 0.023009214935248413 0.7947810799880684 3.0657574439828266 0.9781889372600622 8.274214421327683 3.4072656307198503 3.124777353137959 1.4114431361492943 0.6223324567784965 3.381713612478827 2.885387075346652 1.2884832185794122 1.5239342841162815 -30285935.495051507 -40293793.575786784
0.4190978479072831 0.02241552209009889 0.8279839185422404 3.2521029865894913 0.9693623420795553 1.9409522176547596 2.206411687434626 3.202740860877893 3.0167671883722527 0.4177373956420891 2.701440885728553 1.1731022163763623 1.4954664202267551 1.767558326312911 -4906900.766912052 -14914758.847647334
0.4469155442708208 0.022397627973596238 0.5424710038999724 3.5046706003141477 0.9633697023787245 3.3489977665131407 1.8417161074551682 2.26338787583575 1.0304321071411162 0.2527232137771449 1.299674605583251 1.8153799765947047 0.9252639827197773 1.1293219248373645 -4889682.052104861 -14897540.132840142
