# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: bacco (1)
#         #   - Galaxy Bias Model: bacco (2)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: bacco (3)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - sigma8: 0.83
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - b1_1: 1.239
#             #       - b1_2: 1.378
#             #       - b1_3: 1.525
#             #       - b1_4: 1.677
#             #       - b1_5: 1.832
#             #       - b2_1: 0.0
#             #       - b2_2: 0.0
#             #       - b2_3: 0.0
#             #       - b2_4: 0.0
#             #       - b2_5: 0.0
#             #       - b1L_1: 0.239
#             #       - b1L_2: 0.378
#             #       - b1L_3: 0.525
#             #       - b1L_4: 0.677
#             #       - b1L_5: 0.832
#             #       - b2L_1: 0.46036128
#             #       - b2L_2: 0.4845956
#             #       - b2L_3: 0.5480625
#             #       - b2L_4: 0.65459134
#             #       - b2L_5: 0.80604922
#             #       - bs2L_1: 0.0
#             #       - bs2L_2: 0.0
#             #       - bs2L_3: 0.0
#             #       - bs2L_4: 0.0
#             #       - bs2L_5: 0.0
#             #       - blaplL_1: 0.0
#             #       - blaplL_2: 0.0
#             #       - blaplL_3: 0.0
#             #       - blaplL_4: 0.0
#             #       - blaplL_5: 0.0
#             #       - log10Mc_bc: 13.8
#             #       - eta_bc: -0.3
#             #       - beta_bc: -0.22
#             #       - log10Mz0_bc: 10.5
#             #       - thetaout_bc: 0.25
#             #       - thetainn_bc: -0.86
#             #       - log10Minn_bc: 12.4
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - sigma8_cb: 0.83
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: bacco (1)
#         #   - Galaxy Bias Model: bacco (2)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: bacco (3)
#         #   - Parameter priors:
#         
#            #       - Omega_m: 0.31
#            #       - Ombh2: 0.02268
#            #       - h: 0.68
#            #       - sigma8: 0.83
#            #       - ns: 0.97
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: 0.1446
#            #       - etaIA: 2.21
#            #       - betaIA: 0.0
#            #       - b1L_1: 0.239
#            #       - b1L_2: 0.378
#            #       - b1L_3: 0.525
#            #       - b1L_4: 0.677
#            #       - b1L_5: 0.832
#            #       - b2L_1: 0.46036128
#            #       - b2L_2: 0.4845956
#            #       - b2L_3: 0.5480625
#            #       - b2L_4: 0.65459134
#            #       - b2L_5: 0.80604922
#            #       - bs2L_1: 0.0
#            #       - bs2L_2: 0.0
#            #       - bs2L_3: 0.0
#            #       - bs2L_4: 0.0
#            #       - bs2L_5: 0.0
#            #       - blaplL_1: 0.0
#            #       - blaplL_2: 0.0
#            #       - blaplL_3: 0.0
#            #       - blaplL_4: 0.0
#            #       - blaplL_5: 0.0
#            #       - log10Mc_bc: [9.0,15.0]
#            #       - eta_bc: [-0.69,0.69]
#            #       - beta_bc: [-1.0,0.69]
#            #       - log10Mz0_bc: [9.0,13.0]
#            #       - thetaout_bc: [0.0,0.47]
#            #       - thetainn_bc: [-2.0,-0.52]
#            #       - log10Minn_bc: [9.0,13.5]
#         ##############################################################
#              log10Mc_bc          eta_bc          beta_bc          log10Mz0_bc          thetaout_bc          thetainn_bc          log10Minn_bc        log_w   log_l
1.488371825353646472e+01 1.980386938656704121e-01 3.636720105285513593e-01 1.054254705908792999e+01 3.098433689216913978e-01 -7.838470553171128508e-01 1.078487226231235319e+01 -1.982728837546892464e+03 -5.006485149425262585e+06
1.156077781282356653e+01 -1.178101796035352367e-01 4.564957127351083610e-01 1.173004572433086778e+01 1.810686539652605342e-01 -1.815503925380740124e+00 1.034547284593470096e+01 -1.694621443735435605e+03 -5.006197042031451128e+06
1.284027772526286171e+01 -2.412854151082601817e-01 1.448236067198425125e-01 1.014560064478535750e+01 3.595756535534438414e-01 -1.234493965323885778e+00 1.315416754905112739e+01 -7.665479016164317727e+02 -5.005268968489332125e+06
1.329683318367793277e+01 5.914030139223072080e-01 1.152591655538257598e-01 1.283464547383308130e+01 2.507089179781932242e-01 -1.758069873365259106e+00 1.175196919983088506e+01 -8.406819125134497881e+02 -5.005343102500229143e+06
1.243222100108115136e+01 3.383900451227805917e-02 6.150358773595199224e-01 1.160205940892752530e+01 4.093156361167006874e-01 -7.553635221632688523e-01 1.016687572729302502e+01 -7.510373304951936007e+02 -5.005253457918210886e+06
9.613326606062248203e+00 5.246179365371654857e-01 -2.138944182088189372e-01 9.116677362401777174e+00 8.402617637299372721e-02 -1.251961698480836827e+00 1.272418951991656222e+01 -9.534081625603139400e+02 -5.005455828750276007e+06
1.060425292462015712e+01 1.032205149474183514e-01 1.986814266388265970e-01 9.279643155750765260e+00 3.098045363204454672e-01 -1.243308480625310297e+00 1.139390435311912064e+01 -1.192847166095860302e+03 -5.005695267753811553e+06
9.073938256010169567e+00 2.986299209370002483e-01 2.301468808120414877e-01 1.146564168025520480e+01 1.188237695773345926e-01 -1.763122001769250158e+00 1.017035084318702509e+01 -1.569203210969455540e+03 -5.006071623798685148e+06
1.181965948948934653e+01 -2.258171173702103185e-01 2.178166174155604651e-01 9.317649218206856432e+00 4.366466273726952174e-01 -1.514814414801367359e+00 1.106011719910606494e+01 -1.309953080755658448e+03 -5.005812373668471351e+06
1.173636960814761032e+01 3.672231402747667683e-01 6.263579816557187652e-01 1.269991161566553117e+01 1.993980997203538275e-01 -1.695188886430495367e+00 9.233789222478065994e+00 -1.779168162756599486e+03 -5.006281588750472292e+06
9.753375538417710544e+00 -2.695723301253100113e-01 6.300443397576598326e-01 1.296334014621877628e+01 1.971033838555885098e-01 -1.459518307643508539e+00 1.101316644420730384e+01 -1.534507693759165704e+03 -5.006036928281474859e+06
9.613781206890299913e+00 3.210693814080622932e-01 1.684264677676761135e-01 1.021570426443253865e+01 1.033743889472513861e-01 -1.773314652726737162e+00 1.323386227207650379e+01 -1.204808697949163616e+03 -5.005707229285664856e+06
1.013388041969447251e+01 -1.127287705974853171e-01 -1.034405996964041785e-01 9.066064409586122252e+00 3.570644265113852023e-01 -7.135592319131842665e-01 1.225480336619154187e+01 -6.809092013062909245e+02 -5.005183329789021984e+06
1.229304960847808204e+01 -3.251152827456271766e-02 -6.379499847990932615e-02 1.223181244442248072e+01 3.721513898596359726e-02 -1.999944843604047007e+00 1.244496140703543041e+01 -1.240752406315878034e+03 -5.005743172994031571e+06
1.226536328131244247e+01 5.453425023625466661e-01 2.600760621593807276e-01 1.234563463054374566e+01 2.356514934895811986e-01 -1.669758582814398151e+00 1.217981867520473926e+01 -1.574650673740543425e+03 -5.006077071261456236e+06
1.488531858646034323e+01 2.531340518197784384e-01 -9.951016040674054430e-03 1.135066610807332665e+01 2.820743169032567388e-01 -1.989392251341567386e+00 1.345781507387757614e+01 -8.964220593255013227e+02 -5.005398842647041194e+06
1.337115884782593866e+01 4.658454153810629439e-01 6.067781313528863851e-01 1.015016702610182087e+01 3.271072405497881253e-01 -1.678644178731982795e+00 1.087196592612728452e+01 -6.561944481125101447e+02 -5.005158615035828203e+06
1.044746813200304558e+01 6.377584896242385337e-01 4.536593984828016790e-01 9.374348136431933654e+00 2.051144277635887636e-01 -1.343248244908576083e+00 9.044308834035827971e+00 -1.364141728145070374e+03 -5.005866562315860763e+06
9.513848251861871219e+00 4.317608559020584824e-01 -3.577990274732681941e-01 1.167037096509771743e+01 3.038732230075081864e-01 -1.304286898420782048e+00 1.100887807364104276e+01 -1.241337154832668602e+03 -5.005743757742548361e+06
1.054545761884648591e+01 2.826608405094155341e-01 1.158968804747384507e-01 1.041792743375142649e+01 7.777783340109402366e-02 -1.643599229445584342e+00 9.731725276801768132e+00 -1.453857454936020076e+03 -5.005956278042651713e+06
1.010485287017343481e+01 1.049453888981544125e-02 -3.895478811444553768e-01 1.174169298938513073e+01 1.421420312734976432e-01 -1.998596296642069614e+00 1.088718211483323373e+01 -1.521228880624286830e+03 -5.006023649468339980e+06
1.285862726004862289e+01 -1.142039568876980216e-01 3.010927718921783125e-01 1.282962435699511516e+01 4.192510763690090458e-01 -1.177840874314401987e+00 9.924014799733118508e+00 -1.072821219890378416e+03 -5.005575241807606071e+06
1.256045806784556973e+01 5.240856834522382712e-01 -2.303547282055283807e-01 1.207464313314532767e+01 3.685784537857038079e-01 -1.576727909443178755e+00 1.229876855099935717e+01 -7.335953402630984783e+02 -5.005236015927978791e+06
1.113749552005008070e+01 -2.949951070580735801e-01 -6.496029580794790981e-01 1.268602952229001346e+01 4.555503439142484234e-01 -1.644314738560689770e+00 1.102775397331962104e+01 -7.544854641417041421e+02 -5.005256906051857397e+06
1.181391678554367353e+01 2.631176041146366940e-01 3.787035548852770717e-01 1.168950118158357476e+01 3.665945588524845977e-01 -1.918017164459002055e+00 1.144268520088335706e+01 -1.657148661809042096e+03 -5.006159569249524735e+06
1.004100184103685578e+01 3.206778457970766993e-01 6.116811564330084661e-01 1.076708818090396136e+01 1.907665019319175481e-01 -8.791171593020681296e-01 1.296356887853307960e+01 -7.780082074776291847e+02 -5.005280428795193322e+06
1.455131170006324481e+01 4.333565443800124761e-01 4.010373797668820295e-01 1.000460548204790534e+01 3.207833686759611336e-01 -1.356472957500729049e+00 9.444257081761824324e+00 -1.265421451947651803e+03 -5.005767842039663345e+06
1.160895511071682762e+01 -3.309080316936099386e-01 2.312386219548583366e-01 1.182738587049123957e+01 1.865617100216585278e-01 -5.933872008644167639e-01 1.101766235064154209e+01 -7.081499355724081397e+02 -5.005210570523288101e+06
