# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC (3x2pt)
#         # Sky Fraction (fsky): 0.4
#         # Redshift Binning: 5 bins (0.001 ≤ z ≤ 2.5)
#         # for n(z) Euclid-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 10
#         #   - l_bin: 100
#         #   - l_max (WL): 3000
#         #   - l_max (GC, XC): 1000
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 1.72
#             #       - etaIA: -0.9
#             #       - b1_1: 0.87074
#             #       - b1_2: 1.13866
#             #       - b1_3: 1.29472
#             #       - b1_4: 1.47662
#             #       - b1_5: 1.98016
#             #       - b2_1: 1.74148
#             #       - b2_2: 2.27732
#             #       - b2_3: 2.58944
#             #       - b2_4: 2.95324
#             #       - b2_5: 3.96032
#             #       - b1L_1: -0.12926
#             #       - b1L_2: 0.13866
#             #       - b1L_3: 0.29472
#             #       - b1L_4: 0.47662
#             #       - b1L_5: 0.98016
#             #       - b2L_1: 0.28213962
#             #       - b2L_2: 0.23224054
#             #       - b2L_3: 0.2329498
#             #       - b2L_4: 0.26144022
#             #       - b2L_5: 0.49562399
#             #       - bs2L_1: 0.0
#             #       - bs2L_2: 0.0
#             #       - bs2L_3: 0.0
#             #       - bs2L_4: 0.0
#             #       - bs2L_5: 0.0
#             #       - blaplL_1: 0.0
#             #       - blaplL_2: 0.0
#             #       - blaplL_3: 0.0
#             #       - blaplL_4: 0.0
#             #       - blaplL_5: 0.0
#             #       - Omega_b: 0.04904844290657438
#             #       - Omega_nu: 0.0
#             #       - fb: 0.1582207835695948
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.15,0.6]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [0.0,12.1]
#            #       - etaIA: [-7.0,6.17]
#            #       - b1_1: [0.0,4.0]
#            #       - b1_2: [0.0,4.0]
#            #       - b1_3: [0.0,4.0]
#            #       - b1_4: [0.0,4.0]
#            #       - b1_5: [0.0,4.0]
#         ##############################################################
#           Omega_m   Ombh2   h   log10As   ns   aIA   etaIA   b1_1   b1_2   b1_3   b1_4   b1_5   log_w   log_l
4.688037924669626877e-01 2.273336038889508040e-02 5.897119008546137797e-01 1.735131542439176000e+00 9.726881979100793219e-01 6.919541836204296636e+00 3.411522914900107395e+00 1.749160953866606860e+00 2.367721694062222770e+00 2.611425525838359185e+00 2.254817398009324236e+00 2.802651944719611876e+00 -1.159126312202316523e+07 -2.159912120275844634e+07
5.513440711456266685e-01 2.309071221800551230e-02 5.097050971016197085e-01 2.845405890239964819e+00 9.703331032674304968e-01 8.587738782280593952e+00 1.960088520633327391e+00 3.115204217275683973e+00 9.445026340483599903e-01 1.275340620613426346e+00 3.786946604644189307e+00 2.710905899108785988e+00 -9.602523998431339860e+06 -1.961038207916662097e+07
2.155752255893182423e-01 2.250771510201456105e-02 8.851055650647929873e-01 3.117524626681032807e+00 9.688560602113864828e-01 8.765281194274606946e+00 3.211929930019334023e+00 3.782123994709801984e+00 1.868941517844066702e+00 3.999849437087454440e+00 2.144067682537770914e+00 5.954974935006385195e-01 -1.178586166809076071e+07 -2.179371974882604182e+07
5.607420317450507730e-01 2.146545545785123049e-02 7.373376247541029160e-01 3.198032467694092773e+00 9.717056392512986029e-01 7.249805006935398310e+00 1.948574009159052878e+00 2.006840306810100394e+00 2.473769388424555515e+00 6.512987742200437857e-01 2.778261571071255709e+00 4.873802898651451443e-01 -2.055273359596527740e+07 -3.056059167670055851e+07
2.933713728872772153e-01 2.229402606371892748e-02 8.394830756528934845e-01 2.236776240824330131e+00 9.702930349410692212e-01 5.061495569893214252e+00 2.291608777907063299e+00 6.417980724765932621e-01 1.534777522899060553e+00 5.491929591522644039e-01 9.360569619581400325e-01 1.620391166235131131e-01 -6.851055790961913764e+06 -1.685891387169719487e+07
4.627286031276274247e-01 2.319581439718995317e-02 7.385266048028460428e-01 1.785642157787592943e+00 9.734514134577322286e-01 6.285136117249572330e+00 3.895067448094822637e+00 7.778842055648236276e-01 3.210851661393987477e+00 6.708045594275602319e-01 3.809739607357395919e+00 9.788395619328738029e-01 -2.234134711974842846e+07 -3.234920520048370957e+07
2.377541806747694442e-01 2.238519979917124106e-02 5.643067760855382531e-01 3.341383363426009723e+00 9.725998154546956487e-01 1.064280457670766289e+01 4.980730597376247459e+00 3.817204123913678693e+00 2.907399237246540036e+00 2.185404730911208571e+00 7.153752729232158991e-01 5.663403981059289549e-01 -2.359959632206096128e+07 -3.360745440279623866e+07
4.196586706558940172e-01 2.300921493524841349e-02 7.947810799880683508e-01 3.065757443982826569e+00 9.781889372600621746e-01 8.274214421327682700e+00 3.407265630719850336e+00 3.124777353137958791e+00 1.411443136149294286e+00 6.223324567784964678e-01 3.381713612478827180e+00 2.885387075346652175e+00 -3.028593549505150691e+07 -4.029379357578678429e+07
4.190978479072831053e-01 2.241552209009889038e-02 8.279839185422404046e-01 3.252102986589491262e+00 9.693623420795552947e-01 1.940952217654759560e+00 2.206411687434625790e+00 3.202740860877892892e+00 3.016767188372252662e+00 4.177373956420891155e-01 2.701440885728553010e+00 1.173102216376362250e+00 -4.906900766912052408e+06 -1.491475884764733352e+07
4.469155442708208081e-01 2.239762797359623817e-02 5.424710038999723816e-01 3.504670600314147677e+00 9.633697023787245461e-01 3.348997766513140739e+00 1.841716107455168228e+00 2.263387875835749963e+00 1.030432107141116216e+00 2.527232137771449061e-01 1.299674605583251097e+00 1.815379976594704736e+00 -4.889682052104860544e+06 -1.489754013284014165e+07
